ASIN,end_time,product_name,reading_marketplace,start_time,total_reading_milliseconds
Not Available,2025-07-20T02:50:23.600Z,Not Available,www.amazon.com,2025-07-20T02:25:21.800Z,1501800
Not Available,2025-07-19T22:05:18Z,Not Available,www.amazon.com,2025-07-19T22:05:18Z,0
Not Available,2025-07-19T22:05:18Z,Not Available,www.amazon.com,2025-07-19T21:54:41.900Z,636100
Not Available,2025-07-19T20:16:16Z,Not Available,www.amazon.com,2025-07-19T20:16:16Z,0
Not Available,2025-07-19T20:16:16.500Z,Not Available,www.amazon.com,2025-07-19T20:02:09.800Z,846700
Not Available,2025-07-19T19:52:35Z,Not Available,www.amazon.com,2025-07-19T19:52:35Z,0
Not Available,2025-07-19T19:52:35.600Z,Not Available,www.amazon.com,2025-07-19T19:20:50.800Z,1904800
Not Available,2025-07-19T19:16:15Z,Not Available,www.amazon.com,2025-07-19T19:16:15Z,0
Not Available,2025-07-19T19:16:14.900Z,Not Available,www.amazon.com,2025-07-19T18:38:39.100Z,2255800
Not Available,2025-07-19T17:59:40Z,Not Available,www.amazon.com,2025-07-19T17:59:40Z,0
Not Available,2025-07-19T17:59:39.900Z,Not Available,www.amazon.com,2025-07-19T16:53:29Z,3970900
Not Available,2025-07-19T03:42:49Z,Not Available,www.amazon.com,2025-07-19T03:42:49Z,0
Not Available,2025-07-19T03:42:49.400Z,Not Available,www.amazon.com,2025-07-19T02:45:54.700Z,3414700
Not Available,2025-07-19T02:41:48Z,Not Available,www.amazon.com,2025-07-19T02:41:48Z,0
Not Available,2025-07-19T02:41:47.800Z,Not Available,www.amazon.com,2025-07-19T02:28:11.800Z,816000
Not Available,2025-07-19T02:10:55Z,Not Available,www.amazon.com,2025-07-19T02:10:55Z,0
Not Available,2025-07-19T02:10:55.100Z,Not Available,www.amazon.com,2025-07-19T01:52:33.700Z,1101400
Not Available,2025-07-19T01:34:27Z,Not Available,www.amazon.com,2025-07-19T01:34:27Z,0
Not Available,2025-07-19T01:34:26.800Z,Not Available,www.amazon.com,2025-07-19T01:16:06.700Z,1100100
Not Available,2025-07-18T22:39:42Z,Not Available,www.amazon.com,2025-07-18T22:39:42Z,0
Not Available,2025-07-18T22:39:42.700Z,Not Available,www.amazon.com,2025-07-18T22:09:48.700Z,1794000
Not Available,2025-07-18T21:38:04.200Z,Not Available,www.amazon.com,2025-07-18T21:28:04.600Z,599600
Not Available,2025-07-18T21:27:46Z,Not Available,www.amazon.com,2025-07-18T21:27:46Z,0
Not Available,2025-07-18T21:27:45.900Z,Not Available,www.amazon.com,2025-07-18T20:19:17.900Z,4108000
Not Available,2025-07-18T16:32:39Z,Not Available,www.amazon.com,2025-07-18T16:32:39Z,0
Not Available,2025-07-18T16:32:39.100Z,Not Available,www.amazon.com,2025-07-18T16:32:28.900Z,10200
Not Available,2025-07-18T16:32:04.300Z,Not Available,www.amazon.com,2025-07-18T16:31:46.500Z,17800
Not Available,2025-07-18T16:31:02Z,Not Available,www.amazon.com,2025-07-18T16:31:02Z,0
Not Available,2025-07-18T16:31:02.600Z,Not Available,www.amazon.com,2025-07-18T16:30:23.900Z,38700
Not Available,2025-07-18T03:48:53Z,Not Available,www.amazon.com,2025-07-18T03:48:53Z,0
Not Available,2025-07-18T03:48:53.400Z,Not Available,www.amazon.com,2025-07-18T03:22:02.500Z,1610900
Not Available,2025-07-17T21:13:29Z,Not Available,www.amazon.com,2025-07-17T21:13:29Z,0
Not Available,2025-07-17T21:13:29.400Z,Not Available,www.amazon.com,2025-07-17T21:13:22.400Z,7000
Not Available,2025-07-17T21:13:18.500Z,Not Available,www.amazon.com,2025-07-17T21:04:29.900Z,528600
Not Available,2025-07-17T20:04:35Z,Not Available,www.amazon.com,2025-07-17T20:04:35Z,0
Not Available,2025-07-17T20:04:34.900Z,Not Available,www.amazon.com,2025-07-17T19:57:59.900Z,395000
Not Available,2025-07-17T04:40:45Z,Not Available,www.amazon.com,2025-07-17T04:40:45Z,0
Not Available,2025-07-17T04:40:45.500Z,Not Available,www.amazon.com,2025-07-17T03:18:03.600Z,4961900
Not Available,2025-07-17T01:18:09Z,Not Available,www.amazon.com,2025-07-17T01:18:09Z,0
Not Available,2025-07-17T01:18:09.200Z,Not Available,www.amazon.com,2025-07-17T00:55:12.300Z,1376900
Not Available,2025-07-17T00:54:57Z,Not Available,www.amazon.com,2025-07-17T00:54:57Z,0
Not Available,2025-07-17T00:54:57.400Z,Not Available,www.amazon.com,2025-07-17T00:22:00.600Z,1976800
Not Available,2025-07-16T21:54:49Z,Not Available,www.amazon.com,2025-07-16T21:54:49Z,0
Not Available,2025-07-16T21:54:49.600Z,Not Available,www.amazon.com,2025-07-16T21:08:18.600Z,2791000
Not Available,2025-07-16T20:26:15Z,Not Available,www.amazon.com,2025-07-16T20:26:15Z,0
Not Available,2025-07-16T20:26:15.600Z,Not Available,www.amazon.com,2025-07-16T18:41:26.600Z,6289000
Not Available,2025-07-16T18:41:21.900Z,Not Available,www.amazon.com,2025-07-16T18:32:05.800Z,556100
Not Available,2025-07-16T03:29:31Z,Not Available,www.amazon.com,2025-07-16T03:29:31Z,0
Not Available,2025-07-16T03:29:31.600Z,Not Available,www.amazon.com,2025-07-16T02:38:03.700Z,3087900
Not Available,2025-07-16T02:37:40Z,Not Available,www.amazon.com,2025-07-16T02:37:40Z,0
Not Available,2025-07-16T02:37:40.800Z,Not Available,www.amazon.com,2025-07-16T02:31:42.600Z,358200
Not Available,2025-07-15T04:25:20Z,Not Available,www.amazon.com,2025-07-15T04:25:20Z,0
Not Available,2025-07-15T04:25:20Z,Not Available,www.amazon.com,2025-07-15T04:06:56.600Z,1103400
Not Available,2025-07-15T04:00:19.400Z,Not Available,www.amazon.com,2025-07-15T04:00:03.900Z,15500
B0DJM99D77,2025-07-15T03:59:45.800Z,The Woman in Suite 11: A Novel,www.amazon.com,2025-07-15T03:52:09.500Z,456300
Not Available,2025-07-15T03:50:58Z,Not Available,www.amazon.com,2025-07-15T03:50:58Z,0
Not Available,2025-07-15T03:50:58.600Z,Not Available,www.amazon.com,2025-07-15T03:50:16.300Z,42300
Not Available,2025-07-15T00:00:37Z,Not Available,www.amazon.com,2025-07-15T00:00:37Z,0
Not Available,2025-07-15T00:00:37.300Z,Not Available,www.amazon.com,2025-07-14T23:41:01.200Z,1176100
Not Available,2025-07-14T23:40:40.100Z,Not Available,www.amazon.com,2025-07-14T23:39:44.100Z,56000
Not Available,2025-07-14T22:40:03Z,Not Available,www.amazon.com,2025-07-14T22:40:03Z,0
Not Available,2025-07-14T22:40:02.700Z,Not Available,www.amazon.com,2025-07-14T22:22:05.600Z,1077100
B0DJM99D77,2025-07-14T22:21:49Z,The Woman in Suite 11: A Novel,www.amazon.com,2025-07-14T22:16:39.100Z,309900
B0DJM99D77,2025-07-14T03:10:39.400Z,The Woman in Suite 11: A Novel,www.amazon.com,2025-07-14T02:49:17.800Z,1281600
Not Available,2025-07-14T02:47:09Z,Not Available,www.amazon.com,2025-07-14T02:47:09Z,0
Not Available,2025-07-14T02:47:09.600Z,Not Available,www.amazon.com,2025-07-14T02:24:30.900Z,1358700
Not Available,2025-07-14T01:33:17.100Z,Not Available,www.amazon.com,2025-07-14T01:23:17.100Z,600000
Not Available,2025-07-14T01:20:31Z,Not Available,www.amazon.com,2025-07-14T01:20:31Z,0
Not Available,2025-07-14T01:20:31.600Z,Not Available,www.amazon.com,2025-07-14T01:01:44.900Z,1126700
Not Available,2025-07-14T00:59:10Z,Not Available,www.amazon.com,2025-07-14T00:59:10Z,0
Not Available,2025-07-14T00:59:10.300Z,Not Available,www.amazon.com,2025-07-13T23:48:53.900Z,4216400
Not Available,2025-07-13T22:39:44Z,Not Available,www.amazon.com,2025-07-13T22:39:44Z,0
Not Available,2025-07-13T22:39:43.800Z,Not Available,www.amazon.com,2025-07-13T22:28:32.900Z,670900
Not Available,2025-07-13T22:12:40Z,Not Available,www.amazon.com,2025-07-13T22:12:40Z,0
Not Available,2025-07-13T22:12:40.500Z,Not Available,www.amazon.com,2025-07-13T21:02:07.900Z,4232600
Not Available,2025-07-13T20:52:06Z,Not Available,www.amazon.com,2025-07-13T20:52:06Z,0
Not Available,2025-07-13T20:52:06.300Z,Not Available,www.amazon.com,2025-07-13T19:04:21.100Z,6465200
Not Available,2025-07-13T16:43:25Z,Not Available,www.amazon.com,2025-07-13T16:43:25Z,0
Not Available,2025-07-13T16:43:25.200Z,Not Available,www.amazon.com,2025-07-13T16:19:35.100Z,1430100
Not Available,2025-07-13T05:39:59Z,Not Available,www.amazon.com,2025-07-13T05:39:59Z,0
Not Available,2025-07-13T05:39:59.500Z,Not Available,www.amazon.com,2025-07-13T05:11:32Z,1707500
Not Available,2025-07-12T23:56:29Z,Not Available,www.amazon.com,2025-07-12T23:56:29Z,0
