Created Timestamp,Preferred Marketplace,Country,Device Family,ASIN
2024-05-11T04:58:01Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-27T04:05:02Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-10T23:49:24Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-02T20:58:08Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-26T02:53:16Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-19T21:35:12Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-20T05:51:39Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-02T03:51:49Z,www.amazon.com,US,Kindle E-reader,B0B7R4Q5DJ
2024-01-30T03:57:12Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-20T04:50:36Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-10-26T04:31:36Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-01T22:21:45Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-14T03:40:28Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-17T02:55:37Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-15T20:37:07Z,www.amazon.com,US,Kindle E-reader,B003B4IW2U
2024-02-14T21:16:50Z,www.amazon.com,US,Kindle E-reader,B0044781ZQ
2024-05-13T03:05:25Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-12T03:53:30Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-10T18:30:54Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-10T18:29:15Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-06-08T21:11:56Z,www.amazon.com,US,Kindle E-reader,B0B3Y9JVMK
2024-03-08T22:30:02Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-27T17:07:22Z,www.amazon.com,US,Kindle E-reader,9CF67106DC3A4A8F90A685EE6DAA2B9F
2024-05-21T21:39:26Z,www.amazon.com,US,Kindle E-reader,B092T8QDYW
2024-02-13T21:40:47Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-25T20:34:59Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-30T03:44:09Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-05T02:03:48Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-26T19:18:02Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-20T05:52:44Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-03T03:18:06Z,www.amazon.com,US,Kindle E-reader,B007RMYE9M
2024-07-15T22:13:52Z,www.amazon.com,US,Kindle E-reader,B0CH1NHWNW
2024-05-13T02:42:04Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-08T21:45:35Z,www.amazon.com,US,Kindle E-reader,C36A14E8EC2F4079AD3377ED35C616AE
2024-05-14T08:00:50Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-16T02:18:15Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-11-01T03:40:25Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-06T21:13:57Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-11-05T05:14:50Z,www.amazon.com,US,Kindle E-reader,B0BPX7SF89
2024-06-17T04:08:06Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-29T21:13:11Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-13T05:02:46Z,www.amazon.com,US,Kindle E-reader,B0BPNP7YQB
2024-02-13T21:41:30Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-13T21:54:46Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-08T23:23:39Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-28T00:46:04Z,www.amazon.com,US,Kindle E-reader,B0CJ9TSSYB
2024-02-14T05:05:58Z,www.amazon.com,US,Kindle E-reader,B0044781ZQ
2024-06-17T03:56:16Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-12T05:57:03Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-15T04:29:30Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-15T04:16:08Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-06-06T03:34:58Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-16T03:10:44Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-02T03:51:48Z,www.amazon.com,US,Kindle E-reader,B0B7R4Q5DJ
2024-05-10T21:28:07Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-08T23:24:01Z,www.amazon.com,US,Kindle E-reader,B00BUP18U0
2024-07-15T22:19:31Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-02-14T05:05:59Z,www.amazon.com,US,Kindle E-reader,B0044781ZQ
2023-12-20T05:48:22Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-23T04:55:42Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-14T03:50:37Z,www.amazon.com,US,Kindle E-reader,B0BPNP7YQB
2024-07-15T22:13:58Z,www.amazon.com,US,Kindle E-reader,B0CH1NHWNW
2024-05-13T03:10:14Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-15T02:58:38Z,www.amazon.com,US,Kindle E-reader,B0BPNP7YQB
2024-01-29T21:12:38Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-21T04:37:03Z,www.amazon.com,US,Kindle E-reader,B0CDKLBD2W
2023-11-11T03:47:56Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-25T06:08:45Z,www.amazon.com,US,Kindle E-reader,B0BJSGV831
2024-07-24T03:21:40Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-12T05:38:27Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-08T04:17:38Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-10T03:45:46Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-11T21:36:44Z,www.amazon.com,US,Kindle E-reader,B0BR511292
2024-05-17T00:59:32Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-02-17T22:31:39Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-01T04:42:27Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-17T04:46:05Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-15T04:29:03Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-28T16:44:35Z,www.amazon.com,US,Kindle E-reader,B0BTZRQHJM
2023-11-15T04:02:25Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-10-20T02:24:24Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-12T05:35:43Z,www.amazon.com,US,Kindle E-reader,B08TF1VTGX
2023-12-27T03:10:57Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-08T21:45:34Z,www.amazon.com,US,Kindle E-reader,C36A14E8EC2F4079AD3377ED35C616AE
2024-02-17T22:38:40Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-19T03:38:25Z,www.amazon.com,US,Kindle E-reader,B0BJSGV831
2024-05-22T22:05:48Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-20T03:55:03Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-03T05:19:20Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-19T07:07:45Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-06-05T05:02:07Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-04T23:42:51Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-06-20T04:22:46Z,www.amazon.com,US,Kindle E-reader,Not Available
