Created Timestamp,Preferred Marketplace,Device Family,ASIN,Event Type,Context,Action Id,Widget Layout,Autoshelving Tutorial Shown,Kindle ASIN,Autoshelving Hides By Default,Is Goodreads User,Widget Invoked By,Device Is Offline,Shelf Status
2023-04-27T22:33:01Z,www.amazon.com,Eink,B0B6Z3LN2D,ManualShelving,end_actions,PerformManualShelving,,No,B0B6Z3LN2D,Yes,Yes,InvokedByBookFinish,No,read
2023-09-27T02:41:50Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B0BTVBH6G3,Yes,Yes,InvokedByBookFinish,No,read
2023-03-09T04:49:31Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B08QXTPXPH,Yes,Yes,InvokedByBookFinish,No,none
2024-03-10T04:40:33Z,www.amazon.com,Eink,B0BJP5QFFM,AutoShelving,end_actions,PerformAutoShelving,,No,B0BJP5QFFM,Yes,Yes,InvokedByBookFinish,No,read
2024-04-01T21:34:41Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B0BTZRQHJM,Yes,Yes,InvokedByBookFinish,No,none
2024-04-22T03:35:36Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B0BXTB6HSN,Yes,Yes,InvokedByBookFinish,No,none
2024-01-06T18:47:31Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B0B7R4Q5DJ,Yes,Yes,InvokedByBookFinish,No,read
2024-03-01T04:19:26Z,www.amazon.com,Eink,B0BPNP7YQB,AutoShelving,start_actions,PerformAutoShelving,,No,B0BPNP7YQB,No,Yes,InvokedByBookOpen,No,currently-reading
2023-08-28T17:56:41Z,www.amazon.com,Eink,B093R2CP2V,ManualShelving,start_actions,PerformManualShelving,,No,B093R2CP2V,No,Yes,InvokedByBookOpen,No,currently-reading
2023-03-12T20:40:19Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B08QXTPXPH,Yes,Yes,InvokedByBookFinish,No,none
