created_timestamp,preferred_marketplace,country,device_family,ASIN,widget_action,widget_name
2025-05-06T03:10:19Z,www.amazon.com,US,Kindle E-reader,,Open,Book Description
2024-08-04T17:19:15Z,www.amazon.com,US,Kindle for Android,B0CL3FMNKJ,Open,Book Description
2025-05-06T03:10:19Z,www.amazon.com,US,Kindle E-reader,,Open,Time To Read
2025-05-11T03:30:51Z,www.amazon.com,US,Kindle E-reader,,Open,Book Description
2024-12-30T20:06:48Z,www.amazon.com,US,Kindle for Android,B0CZXNTCFX,Open,Time To Read
2025-06-23T23:53:44Z,www.amazon.com,US,Kindle E-reader,,Open,ufb
2025-05-06T03:27:18Z,www.amazon.com,US,Kindle E-reader,,Open,ufb
2025-02-18T06:29:40Z,www.amazon.com,US,Kindle for Android,B003K15IF8,Collapse,BSE_EA
2025-04-06T16:48:03Z,www.amazon.com,US,Kindle for Android,B0CQHL1XV7,Open,Follow the Author
2025-06-09T04:31:19Z,www.amazon.com,US,Kindle E-reader,,Open,Time To Read
2024-08-04T17:19:15Z,www.amazon.com,US,Kindle for Android,B0CL3FMNKJ,Open,Goodreads Autoshelving Widget
2025-04-06T16:47:13Z,www.amazon.com,US,Kindle for Android,B0CQHL1XV7,Open,Customers Who Bought This Also Bought
2025-02-18T06:29:28Z,www.amazon.com,US,Kindle for Android,B003K15IF8,Open,rtrv
2025-05-06T03:27:18Z,www.amazon.com,US,Kindle E-reader,,Open,Book Description
2024-12-26T06:06:10Z,www.amazon.com,US,Kindle for Android,B0CN8TPKSP,Open,Buy This Book
2025-06-23T23:53:44Z,www.amazon.com,US,Kindle E-reader,,Open,Reader Settings
2025-02-19T21:32:20Z,www.amazon.com,US,Kindle for Android,B081M4F8GH,Open,Book Description
2025-02-19T21:32:20Z,www.amazon.com,US,Kindle for Android,B081M4F8GH,Open,About the Author
2024-12-26T06:06:10Z,www.amazon.com,US,Kindle for Android,B0CN8TPKSP,Open,More by Author
2025-02-19T21:32:20Z,www.amazon.com,US,Kindle for Android,B081M4F8GH,Open,Goodreads Autoshelving Widget
2024-12-26T06:06:10Z,www.amazon.com,US,Kindle for Android,B0CN8TPKSP,Open,Follow the Author
2025-04-06T16:47:20Z,www.amazon.com,US,Kindle for Android,B0CQHL1XV7,Expand,BSE_EA
2025-02-18T06:29:28Z,www.amazon.com,US,Kindle for Android,B003K15IF8,Open,Follow the Author
2025-05-03T20:39:51Z,www.amazon.com,US,Kindle E-reader,,Open,Book Description
2024-08-04T17:19:15Z,www.amazon.com,US,Kindle for Android,B0CL3FMNKJ,Open,Time To Read
2025-02-18T06:29:28Z,www.amazon.com,US,Kindle for Android,B003K15IF8,Expand,BSE_EA
2025-04-06T16:47:19Z,www.amazon.com,US,Kindle for Android,B0CQHL1XV7,Collapse,BSE_EA
2024-08-04T17:19:15Z,www.amazon.com,US,Kindle for Android,B0CL3FMNKJ,Open,About the Author
2025-05-03T20:39:51Z,www.amazon.com,US,Kindle E-reader,,Open,About the Author
2025-04-06T16:48:03Z,www.amazon.com,US,Kindle for Android,B0CQHL1XV7,Expand,BSE_EA
2024-12-26T06:06:13Z,www.amazon.com,US,Kindle for Android,B0CN8TPKSP,Collapse,BSE_EA
2025-02-18T06:29:28Z,www.amazon.com,US,Kindle for Android,B003K15IF8,Open,Customers Who Bought This Also Bought
2025-05-11T03:30:52Z,www.amazon.com,US,Kindle E-reader,,Open,aa
2025-04-06T16:47:16Z,www.amazon.com,US,Kindle for Android,B0CQHL1XV7,Collapse,BSE_EA
2025-06-19T23:18:17Z,www.amazon.com,US,Kindle E-reader,,Open,Book Description
2025-06-09T04:31:19Z,www.amazon.com,US,Kindle E-reader,,Open,Goodreads Autoshelving Widget
2024-12-30T20:06:48Z,www.amazon.com,US,Kindle for Android,B0CZXNTCFX,Open,Goodreads Autoshelving Widget
2025-05-06T03:10:25Z,www.amazon.com,US,Kindle E-reader,,Click.GoodreadsAutoshelf,Goodreads Autoshelving Widget
2024-08-04T17:19:15Z,www.amazon.com,US,Kindle for Android,B0CL3FMNKJ,Collapse,BSE_SA
2025-04-06T16:47:18Z,www.amazon.com,US,Kindle for Android,B0CQHL1XV7,Expand,BSE_EA
2025-04-21T22:11:37Z,www.amazon.com,US,Kindle E-reader,,Open,Book Description
2025-02-19T21:32:20Z,www.amazon.com,US,Kindle for Android,B081M4F8GH,Open,More by Author
2024-08-04T17:19:15Z,www.amazon.com,US,Kindle for Android,B0CL3FMNKJ,Open,More by Author
2025-05-06T03:27:18Z,www.amazon.com,US,Kindle E-reader,,Open,Goodreads Autoshelving Widget
2025-04-06T16:48:03Z,www.amazon.com,US,Kindle for Android,B0CQHL1XV7,Open,Customers Who Bought This Also Bought
2024-12-30T20:06:48Z,www.amazon.com,US,Kindle for Android,B0CZXNTCFX,Open,About the Author
2025-05-03T20:39:51Z,www.amazon.com,US,Kindle E-reader,,Open,Time To Read
2024-12-30T20:06:48Z,www.amazon.com,US,Kindle for Android,B0CZXNTCFX,Open,Book Description
2025-04-06T16:48:03Z,www.amazon.com,US,Kindle for Android,B0CQHL1XV7,Open,Buy This Book
2024-12-26T06:06:10Z,www.amazon.com,US,Kindle for Android,B0CN8TPKSP,Expand,BSE_EA
2025-06-23T23:53:44Z,www.amazon.com,US,Kindle E-reader,,Open,Goodreads Autoshelving Widget
2025-04-06T16:48:06Z,www.amazon.com,US,Kindle for Android,B0CQHL1XV7,Collapse,BSE_EA
2025-05-06T03:10:19Z,www.amazon.com,US,Kindle E-reader,,Open,aa
2025-04-06T16:47:15Z,www.amazon.com,US,Kindle for Android,B0CQHL1XV7,Collapse,BSE_EA
2025-02-19T21:32:20Z,www.amazon.com,US,Kindle for Android,B081M4F8GH,Collapse,BSE_SA
2025-02-18T06:29:28Z,www.amazon.com,US,Kindle for Android,B003K15IF8,Open,Mentioned in this Book
2025-06-23T23:53:44Z,www.amazon.com,US,Kindle E-reader,,Open,Book Description
2025-05-06T03:10:19Z,www.amazon.com,US,Kindle E-reader,,Open,Goodreads Autoshelving Widget
2025-07-11T05:44:41Z,www.amazon.com,US,Kindle E-reader,,Open,Time To Read
2025-06-23T00:47:56Z,www.amazon.com,US,Kindle E-reader,B0DHDF2RDL,Open,gr
2024-09-22T21:39:35Z,www.amazon.com,US,Kindle for Android,B0CQJHF3HQ,Collapse,BSE_SA
2025-06-19T23:18:17Z,www.amazon.com,US,Kindle E-reader,,Open,Goodreads Autoshelving Widget
2025-04-21T22:11:37Z,www.amazon.com,US,Kindle E-reader,,Open,Time To Read
2024-12-26T06:06:10Z,www.amazon.com,US,Kindle for Android,B0CN8TPKSP,Open,Customers Who Bought This Also Bought
2024-12-26T06:06:10Z,www.amazon.com,US,Kindle for Android,B0CN8TPKSP,Open,reb
2025-06-09T04:31:19Z,www.amazon.com,US,Kindle E-reader,,Open,About the Series
2025-05-06T03:27:18Z,www.amazon.com,US,Kindle E-reader,,Open,Reader Settings
2025-07-11T05:44:41Z,www.amazon.com,US,Kindle E-reader,,Open,About the Series
2025-05-06T03:10:26Z,www.amazon.com,US,Kindle E-reader,,Click.GoodreadsAutoshelf,Goodreads Autoshelving Widget
2025-02-19T21:32:20Z,www.amazon.com,US,Kindle for Android,B081M4F8GH,Open,Time To Read
2025-06-19T23:18:17Z,www.amazon.com,US,Kindle E-reader,,Open,Time To Read
2025-06-09T04:31:19Z,www.amazon.com,US,Kindle E-reader,,Open,Book Description
2025-05-11T03:30:51Z,www.amazon.com,US,Kindle E-reader,,Open,About the Author
2025-07-11T05:44:41Z,www.amazon.com,US,Kindle E-reader,,Open,Goodreads Autoshelving Widget
2025-06-23T00:48:00Z,www.amazon.com,US,Kindle E-reader,B0DHDF2RDL,Click.GoodreadsShelf,gr
2024-12-30T20:06:48Z,www.amazon.com,US,Kindle for Android,B0CZXNTCFX,Collapse,BSE_SA
2025-04-06T16:47:13Z,www.amazon.com,US,Kindle for Android,B0CQHL1XV7,Expand,BSE_EA
2025-02-18T06:29:28Z,www.amazon.com,US,Kindle for Android,B003K15IF8,Open,grsh
2025-05-11T03:30:51Z,www.amazon.com,US,Kindle E-reader,,Open,Goodreads Autoshelving Widget
2025-04-21T22:11:37Z,www.amazon.com,US,Kindle E-reader,,Open,Goodreads Autoshelving Widget
2025-07-11T05:44:41Z,www.amazon.com,US,Kindle E-reader,,Open,Book Description
2025-04-06T16:47:13Z,www.amazon.com,US,Kindle for Android,B0CQHL1XV7,Open,Follow the Author
2025-05-03T20:39:51Z,www.amazon.com,US,Kindle E-reader,,Open,Goodreads Autoshelving Widget
2025-04-06T16:47:46Z,www.amazon.com,US,Kindle for Android,B0CQHL1XV7,Collapse,BSE_EA
2025-06-23T00:47:56Z,www.amazon.com,US,Kindle E-reader,B0DHDF2RDL,Open,Follow the Author
2024-08-08T03:14:11Z,www.amazon.com,US,Kindle for Android,B0CL3FMNKJ,Collapse,BSE_SA
2025-02-18T06:29:28Z,www.amazon.com,US,Kindle for Android,B003K15IF8,Open,reb
2025-04-06T16:47:13Z,www.amazon.com,US,Kindle for Android,B0CQHL1XV7,Open,Buy This Book
2025-02-18T06:29:28Z,www.amazon.com,US,Kindle for Android,B003K15IF8,Open,More by Author
