created_timestamp,preferred_marketplace,country,device_family,ASIN,context,book_count_type,book_count,count_changed
2023-03-03T04:08:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-02-29T02:04:14Z,www.amazon.com,US,Kindle E-reader,B0C1YCKNK1,Content stored in device,Total Books In Account,83,Yes
2023-06-27T20:12:07Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,Content stored in device,Total Books In Account,82,Yes
2023-03-01T23:15:42Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,96,Yes
2024-07-08T22:01:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,5,Yes
2023-11-22T03:30:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,8,Yes
2023-04-10T23:44:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,6,Yes
2025-01-20T18:54:54Z,www.amazon.com,US,Kindle E-reader,B0CC1J32NG,Content stored in device,Total Books Sideloaded,1,Yes
2024-05-04T04:03:07Z,www.amazon.com,US,Kindle E-reader,B0C4PX8RD7,Content stored in device,Total Books Downloaded,7,Yes
2024-02-11T08:15:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,83,Yes
2025-05-27T22:16:37Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Content stored in device,Total Books Downloaded,7,Yes
2025-04-20T04:46:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,7,Yes
2024-03-07T04:46:28Z,www.amazon.com,US,Kindle E-reader,B0C7RPT9B3,Content stored in device,Total Books Sideloaded,3,Yes
2023-08-27T03:11:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,6,Yes
2025-01-09T05:23:21Z,www.amazon.com,US,Kindle E-reader,LH2FCVKSFLIA3RE4365AAGYFG76TA7UI,Content stored in device,Total Books Sideloaded,1,Yes
2023-05-12T02:40:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,2,Yes
