created_timestamp,preferred_marketplace,country,device_family,ASIN,Toolbar Menu,Toolbar Menu Action Taken,Page Flip Available,Reading Mode,In Multi Window Mode,Screen Orientation,Reading Progress Option Shown,Interaction Type
2025-05-29T03:47:07Z,www.amazon.com,US,Kindle for Android,QYRAXQVBLI3LB5QJ4JUGQRWU5LOQXERK,Navigation View,Enter Full Page View,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-06-15T21:15:39Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Overflow Button Menu,CloseOverflowMenu,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-27T11:05:01Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-29T02:50:28Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Full Page View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-06-15T21:21:54Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-27T22:27:55Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-06-15T21:15:41Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Overflow Button Menu,CloseOverflowMenu,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-06-15T21:25:31Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Top Toolbar,Close Book,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-07-29T15:55:09Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Blank,Tap
2025-06-26T01:24:44Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Full Page View,Tap Reading Progress To Change,Yes,Paginated Reading,No,Portrait,Blank,Tap
2025-05-14T21:18:15Z,www.amazon.com,US,Kindle for Android,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Time To Read Chapter,Tap
2025-05-21T18:56:31Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Location,Tap
