ASIN,"Content Update Receipt Date","Content Update Start Date","Creation Date","Current Book Format","Device Family","Device Serial Number",Marketplace,"New Book Format","Product Name",Reason,"Software Version",Status,"Third Party Device","Update Date","Update Target"
B09GW3P1KJ,"NOT AVAILABLE","NOT AVAILABLE",2023-05-15T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE",Lapvona,"NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B09RTYQW2S,"NOT AVAILABLE","NOT AVAILABLE",2023-05-09T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","The Marriage Portrait: Reese's Book Club","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B084357H23,"NOT AVAILABLE","NOT AVAILABLE",2023-05-08T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","The Invisible Life of Addie LaRue","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B084357H23,"NOT AVAILABLE","NOT AVAILABLE",2023-05-04T00:00:00.00Z,"Enhanced TypeSetting",ANDROID,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","The Invisible Life of Addie LaRue","NOT AVAILABLE",1285492200,Failed,"cf46bcb593354554ac0d6b60551cd370","NOT AVAILABLE","NOT AVAILABLE"
B09CNFH5WG,"NOT AVAILABLE","NOT AVAILABLE",2023-05-01T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","All the Living and the Dead","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B000U913EI,"NOT AVAILABLE","NOT AVAILABLE",2023-05-01T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","In the Woods","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B09RTYQW2S,"NOT AVAILABLE","NOT AVAILABLE",2023-04-30T00:00:00.00Z,"Enhanced TypeSetting",ANDROID,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","The Marriage Portrait: Reese's Book Club","NOT AVAILABLE",1285492200,Failed,"cf46bcb593354554ac0d6b60551cd370","NOT AVAILABLE","NOT AVAILABLE"
B0B6Z4SVTH,"NOT AVAILABLE","NOT AVAILABLE",2023-04-28T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","The Wager","Device not supported",3924980005,Failed,"NOT AVAILABLE",2023-04-28T00:00:00.00Z,"Book revision update"
B0B6Z4SVTH,"NOT AVAILABLE","NOT AVAILABLE",2023-04-28T00:00:00.00Z,"Enhanced TypeSetting",ANDROID,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","The Wager","Device not supported",1285492200,Failed,"cf46bcb593354554ac0d6b60551cd370",2023-04-28T00:00:00.00Z,"Book revision update"
B0B6Z4SVTH,"NOT AVAILABLE","NOT AVAILABLE",2023-04-28T00:00:00.00Z,"Enhanced TypeSetting",ANDROID,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","The Wager","NOT AVAILABLE",1285492200,Failed,"cf46bcb593354554ac0d6b60551cd370","NOT AVAILABLE","NOT AVAILABLE"
B0B6Z4SVTH,"NOT AVAILABLE","NOT AVAILABLE",2023-04-28T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","The Wager","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0B6Z3LN2D,"NOT AVAILABLE","NOT AVAILABLE",2023-04-27T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Saturday Night at the Lakeside Supper Club","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0B1BTJLJN,"NOT AVAILABLE","NOT AVAILABLE",2023-04-14T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE",Outlive,"NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0B3HPSFJ7,"NOT AVAILABLE","NOT AVAILABLE",2023-04-11T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Pineapple Street: A GMA Book Club Pick","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B087BQ7GK3,"NOT AVAILABLE","NOT AVAILABLE",2023-04-10T00:00:00.00Z,Mobi,EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Runner's World Run Less Run Faster","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B07HB5DKQX,"NOT AVAILABLE","NOT AVAILABLE",2023-04-09T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Palm Beach, Finland","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B07HB5DKQX,"NOT AVAILABLE","NOT AVAILABLE",2023-04-05T00:00:00.00Z,"Enhanced TypeSetting",ANDROID,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","Palm Beach, Finland","NOT AVAILABLE",1285466600,Failed,"cf46bcb593354554ac0d6b60551cd370","NOT AVAILABLE","NOT AVAILABLE"
B075SPBQDV,"NOT AVAILABLE","NOT AVAILABLE",2023-04-04T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","The Man Who Died","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0B3Y8DJFJ,"NOT AVAILABLE","NOT AVAILABLE",2023-03-31T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE",Stolen,"NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B075SPBQDV,"NOT AVAILABLE","NOT AVAILABLE",2023-03-31T00:00:00.00Z,"Enhanced TypeSetting",ANDROID,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","The Man Who Died","NOT AVAILABLE",1285466600,Failed,"cf46bcb593354554ac0d6b60551cd370","NOT AVAILABLE","NOT AVAILABLE"
B0B1Y1ZKFX,"NOT AVAILABLE","NOT AVAILABLE",2023-03-31T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","How Not to Kill Yourself","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B07MXCRB2F,"NOT AVAILABLE","NOT AVAILABLE",2023-03-30T00:00:00.00Z,"Enhanced TypeSetting",ANDROID,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","A Girl in Winter","NOT AVAILABLE",1285466600,Failed,"cf46bcb593354554ac0d6b60551cd370","NOT AVAILABLE","NOT AVAILABLE"
B007D1TKAU,"NOT AVAILABLE","NOT AVAILABLE",2023-03-29T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Running for My Life","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0B3989NDF,"NOT AVAILABLE","NOT AVAILABLE",2023-03-29T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","The Kind Worth Saving","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B09JBCGQB8,"NOT AVAILABLE","NOT AVAILABLE",2023-03-15T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Tomorrow, and Tomorrow, and Tomorrow","NOT AVAILABLE",3889340042,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B09N6VX4K7,"NOT AVAILABLE","NOT AVAILABLE",2023-03-14T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Killers of a Certain Age","NOT AVAILABLE",3889340042,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B09NW4FN2R,"NOT AVAILABLE","NOT AVAILABLE",2023-03-07T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Wrong Place Wrong Time","NOT AVAILABLE",3889340042,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B07TYBQJBM,"NOT AVAILABLE","NOT AVAILABLE",2023-03-07T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","The Boy from the Woods","NOT AVAILABLE",3889340042,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B01HLY0Z0W,"NOT AVAILABLE","NOT AVAILABLE",2023-03-03T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","66 Metres: A chilling thriller that will keep you on the edge of your seat! (Nadia Laksheva Spy Thriller Series, Book 1)","NOT AVAILABLE",3889340042,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B08QXTPXPH,"NOT AVAILABLE","NOT AVAILABLE",2023-03-01T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","The Last Mona Lisa","NOT AVAILABLE",3889340042,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B08KQ4W18H,"NOT AVAILABLE","NOT AVAILABLE",2023-02-24T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","How the Word Is Passed","NOT AVAILABLE",3889340042,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
