"Product Name","ASIN","Ownership Type","Ownership Subtype"
"Shape: The Hidden Geometry of Information, Biology, Strategy, Democracy, and EverythingElse","B08PF965W9","Item Owner","PublicLibraryLending"
"Wandering Stars: A novel","B0C772ZLMQ","Item Owner","PublicLibraryLending"
"The Upstairs Delicatessen: On Eating, Reading, Reading About Eating, and Eating While Reading","B0BQGHJM5L","Item Owner","PublicLibraryLending"
"Salvation of a Saint: A Detective Galileo Novel (Detective Galileo Series Book 2)","B007RMYE9M","Item Owner","PublicLibraryLending"
"Zero at the Bone: Fifty Entries Against Despair","B0BQGJVCMT","Item Owner","PublicLibraryLending"
"The Fury","B0BXTB6HSN","Item Owner","PublicLibraryLending"
"Ordinary Grace: A Novel","B008J2G5Y6","Item Owner","PublicLibraryLending"
"Scenes from a Childhood — WINNER OF THE 2023 NOBEL PRIZE IN LITERATURE","B07BX82VS9","Item Owner","PublicLibraryLending"
"The Clementine Complex","B0BTZRQHJM","Item Owner","PublicLibraryLending"
"Everyone on This Train Is a Suspect: A Novel (The Ernest Cunningham Mysteries Book 2)","B0C6KMGND1","Item Owner","PublicLibraryLending"
"Northwoods: A Novel","B0C7RPT9B3","Item Owner","PublicLibraryLending"
"I Know What You Did: A Novel","B0BJP5QFFM","Item Owner","PublicLibraryLending"
"Heart Sutra","B0B72HGHW8","Item Owner","PublicLibraryLending"
"You Dreamed of Empires: A Novel","B0C1YCKNK1","Item Owner","PublicLibraryLending"
"Northwoods: A Novel","B0C7RQ8Y2F","Not Interested","GR"
"The Devotion of Suspect X: A Detective Galileo Novel (Detective Galileo Series Book 1)","B0044781ZQ","Item Owner","PublicLibraryLending"
"Prophet Song: A Novel (Booker Prize Winner)","B0CLQVQSVL","Item Owner","PublicLibraryLending"
"Someone Who Will Love You in All Your Damaged Glory: Stories","B07HDT9JFX","Item Owner","PublicLibraryLending"
"Loneliness Of The Long Distance Runner","0007255608","Not Interested","GR"
"None of This Is True: A Novel","B0BDMPQ2FC","Item Owner","PublicLibraryLending"
"Diary of a Void: A Novel","B09LHBX5KV","Item Owner","PublicLibraryLending"
"None of This Is True: A Novel","1982179007","Not Interested","GR"
"The MANIAC","0593654471","Not Interested","GR"
"True North: A Novel","B0C592RHNC","Item Owner","PublicLibraryLending"
"The Librarianist: A Novel","B0BH4QWM85","Item Owner","PublicLibraryLending"
"Martyr!: A novel","B0C3C886FY","Item Owner","PublicLibraryLending"
"Last Acts: A Novel","B0C7RK8P8K","Sample Owner","Sample"
"Martyr!: A novel","B0C3C886FY","Sample Owner","Sample"
"The End of August: A Novel","B0BL6271NP","Sample Owner","Sample"
"The Restaurant Inspector","B0927NRBFB","Item Owner","PublicLibraryLending"
"The Guest List: A Novel","B07WG8L7WC","Item Owner","PublicLibraryLending"
"The Killing Hills (The Mick Hardin Novels Book 1)","B08TF1VTGX","Item Owner","PublicLibraryLending"
"Aliss at the Fire — WINNER OF THE 2023 NOBEL PRIZE IN LITERATURE","B09RMQJCZJ","Item Owner","PublicLibraryLending"
"Shutter Island","B000JMKNV0","Item Owner","PublicLibraryLending"
"Good Bad Girl: A Novel","B0BST5X6GS","Item Owner","PublicLibraryLending"
"Hello Beautiful (Oprah's Book Club): A Novel","B0B7R4Q5DJ","Item Owner","PublicLibraryLending"
"The Day of the Jackal","0553266306","Not Interested","GR"
"Ninth House (Ninth House Series Book 1)","B07LF64DZ2","Item Owner","PublicLibraryLending"
"Blood Meridian: Or the Evening Redness in the West (Vintage International)","B003XT60E0","Sample Owner","Sample"
"The Soulmate: A Novel","B09Y467GZY","Item Owner","PublicLibraryLending"
"The Purple Runner","B09S3WWY98","Sample Owner","Sample"
"Everyone in My Family Has Killed Someone: A Novel (The Ernest Cunningham Mysteries Book 1)","B09Y94K74X","Item Owner","PublicLibraryLending"
"The Stranger (Camus Novel)","B09Q2F1X14","Sample Owner","Sample"
"Blood Meridian: Or the Evening Redness in the West","0679728759","Item Owner","Purchase"
"Babel: Or the Necessity of Violence: An Arcane History of the Oxford Translators’ Revolution—An Historic Fantasy of Dark Academia, Perfect for Fans of ... Fiction and Nineteenth Century England","B09MD95S5V","Item Owner","PublicLibraryLending"
"Lay Your Body Down: A Novel of Suspense","B09721CTG1","Item Owner","PublicLibraryLending"
"The Plotters: A Novel","B07CWDMQ45","Item Owner","PublicLibraryLending"
"The Upstairs Delicatessen: On Eating, Reading, Reading About Eating, and Eating While Reading","B0BQGHJM5L","Sample Owner","Sample"
"Smarter Not Harder: The Biohacker's Guide to Getting the Body and Mind You Want","B0B399L6KP","Item Owner","PublicLibraryLending"
"Four Thousand Weeks: Time Management for Mortals","B08FGV64B1","Item Owner","PublicLibraryLending"
"Yellowface: A Chilling Novel of Racism and Cultural Appropriation from the author of Katabasis","B0B9SN8K6H","Item Owner","PublicLibraryLending"
"Wellness: A Novel (Oprah's Book Club)","B0BR511292","Item Owner","PublicLibraryLending"
"Eastbound","B0B6B4WPSF","Sample Owner","Sample"
"The Mystery Guest: A Maid Novel (Molly the Maid Book 2)","B0C5LRCM2F","Item Owner","PublicLibraryLending"
"Fast After 50: How to Race Strong for the Rest of Your Life","1937715264","Not Interested","GR"
"The Spy Who Came in from the Cold: A George Smiley Novel (George Smiley Novels Book 3)","B006CUDDUG","Item Owner","PublicLibraryLending"
"I Have Some Questions for You: A Novel","B09ZRWP8DS","Item Owner","PublicLibraryLending"
"What's Gotten Into You: The Story of Your Body's Atoms, from the Big Bang Through Last Night's Dinner","B09YRR8DB6","Sample Owner","Sample"
"The Longest Race: Inside the Secret World of Abuse, Doping, and Deception on Nike's Elite Running Team","1982179147","Not Interested","GR"
"Beastie Boys Book","0812995546","Not Interested","GR"
"North Woods: A Novel","B0BPX7SF89","Item Owner","PublicLibraryLending"
"Chain Gang All Stars: A Read with Jenna Pick: National Book Award Finalist","B0B5ST3XX4","Item Owner","PublicLibraryLending"
"Starter Villain","B0B9KVXCQ6","Item Owner","PublicLibraryLending"
"Breaking and Entering","B0BKH7G2X8","Item Owner","PublicLibraryLending"
"The Awesome Game: One Man's Incredible, Globe-Crushing Hockey Odyssey","B0CHWJCN94","Sample Owner","Sample"
"The Theory of Everything Else: A Voyage Into the World of the Weird","B0BGJ3W5D3","Sample Owner","Sample"
"Slow Horses (Slough House Book 1)","B004HW7DZ2","Item Owner","PublicLibraryLending"
"Trust (Pulitzer Prize Winner)","B09BV2JNWV","Item Owner","PublicLibraryLending"
"Fever House: A Novel (Fever House Duology Book 1)","B0BP6S1S57","Sample Owner","Sample"
"Hope: A Novel","B0BHY38ZPH","Sample Owner","Sample"
"No One Will Miss Her: A Dark and Compelling Mystery with a Devious Plot, Get Ready to Unravel the Secrets!","B08SMFSLVQ","Item Owner","PublicLibraryLending"
"The Sullivanians: Sex, Psychotherapy, and the Wild Life of an American Commune","B0BBC769LV","Item Owner","PublicLibraryLending"
"Somebody's Fool: A novel (North Bath Trilogy Book 3)","B0BKKVQPLB","Item Owner","PublicLibraryLending"
"The Rise: A Short Story","B0CBW58P3J","Item Owner","Purchase"
"The Rise: A Short Story","B0CBW58P3J","Not Interested","RC"
"The Fraud: A Novel","B0BP66G6B7","Item Owner","PublicLibraryLending"
"How Can I Help You","B0BJNKTFGH","Item Owner","PublicLibraryLending"
"The Last Devil to Die: A Thursday Murder Club Mystery (Thursday Murder Club Mysteries Book 4)","B0BQLKNTYR","Item Owner","PublicLibraryLending"
"The Vaster Wilds: A Novel","B0BTVBH6G3","Item Owner","PublicLibraryLending"
"Not Available","B0DT439M77","Not Interested","GR"
"The Girl in the Eagle's Talons: A Lisbeth Salander Novel (The Girl with the Dragon Tattoo (Lisbeth Salander / Millennium) Book 7)","B0BLY7J9DC","Item Owner","PublicLibraryLending"
"What You Are Looking For Is in the Library: A Touching Narrative of Self-Discovery, Community Bonds and the Joys of Reading in Tokyo's Libraries","B0BT82YGGF","Item Owner","PublicLibraryLending"
"Small World: A Novel","B08T6CL58V","Item Owner","PublicLibraryLending"
"The Golden Couple: A Novel","B092T947PJ","Item Owner","PublicLibraryLending"
"Ella Minnow Pea: A Novel in Letters","0385722435","Not Interested","GR"
"How Minds Change: The Surprising Science of Belief, Opinion, and Persuasion","B093R2CP2V","Not Interested","GR"
"Path Lit by Lightning: The Life of Jim Thorpe","B09JPFYQY2","Item Owner","PublicLibraryLending"
"Tom Lake: A Reese’s Book Club Pick","B0BL126WSH","Item Owner","PublicLibraryLending"
"Good Family","1250810175","Not Interested","GR"
"The School of Hard Talks: How to Have Real Conversations with Your (Almost Grown) Kids","1632174707","Not Interested","GR"
"I Am Homeless If This Is Not My Home: A novel","B0BG13PH57","Item Owner","PublicLibraryLending"
"National Geographic Guide to National Parks of the United States, 8th Edition (National Geographic Guide to the National Parks of the United States)","B016TG0SAK","Item Owner","Prime"
"Mac's Problem","B07GJBCLHN","Item Owner","PublicLibraryLending"
"One by One","B084G9Z5C3","Item Owner","PublicLibraryLending"
"30 Easy Vegetarian Recipes For Weeknights – Unique Easy Vegetarian Meals (Quick and Easy Dinner Recipes – The Easy Weeknight Dinners Collection)","B009OWM3EG","Item Owner","Purchase"
"Ski-running","B0084C5DZ8","Item Owner","Purchase"
"The Golden Sayings of Epictetus","B0082ZJFCO","Item Owner","Purchase"
"Meditations","B0082XJGRK","Item Owner","Purchase"
"Not Available","B005LDBI6G","Item Owner","Purchase"
"Not Available","B000JQUXOS","Item Owner","Purchase"
"Not Available","B09QCX4JK7","Item Owner","Purchase"
"Not Available","B09Q1SQ567","Item Owner","Purchase"
"Not Available","B09DTHWW83","Item Owner","Purchase"
"Not Available","B09DT9P11L","Item Owner","Purchase"
"Not Available","B093B4BGRK","Item Owner","Purchase"
"Not Available","B0DWV8NJDF","Not Interested","GR"
"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession","0525657320","Not Interested","GR"
"Rabbits for Food","B07GD51NCJ","Item Owner","PublicLibraryLending"
"Choosing to Run: A Memoir","0593186648","Not Interested","GR"
"Zero Days","B0BHTN6TL6","Item Owner","PublicLibraryLending"
"Small Mercies: A Detective Mystery","B0B7NDZNDV","Item Owner","PublicLibraryLending"
"Going Zero: A Novel","006322707X","Not Interested","GR"
"Code Name Blue Wren: The True Story of America's Most Dangerous Female Spy—and the Sister She Betrayed","B09XBGYWSR","Item Owner","PublicLibraryLending"
"Gone to the Wolves: A Novel","0374603332","Not Interested","GR"
"My Murder: A Novel","B0BHCXVWGT","Item Owner","PublicLibraryLending"
"Sprinting Through No Man's Land: Endurance, Tragedy, and Rebirth in the 1919 Tour de France","B08DHSFM4Q","Item Owner","Purchase"
"Running Is a Kind of Dreaming: A Memoir","B08RZ4PTSF","Item Owner","Purchase"
"The Glass Hotel: A novel","B07RL58ZDG","Item Owner","Purchase"
"Palm Beach, Finland","B07HB5DKQX","Item Owner","Purchase"
"Winter Loon: A Novel","B07BDKJVWS","Item Owner","Purchase"
"The Man Who Died","B075SPBQDV","Item Owner","Purchase"
"The Best American Series: 14 Short Stories & Essays","B017RLXECU","Item Owner","Purchase"
"How to Survive: Self-Reliance in Extreme Circumstances","B08D4QJRY2","Item Owner","PublicLibraryLending"
"The Celebrants: A Read with Jenna Pick: A Novel","B0B9WRWFH6","Item Owner","PublicLibraryLending"
"The Dirty Tricks Department: Stanley Lovell, the OSS, and the Masterminds of World War II Secret Warfare","1250280249","Not Interested","GR"
