created_timestamp,preferred_marketplace,country,device_family,ASIN,User Action,Context,Gesture
2023-02-20T21:49:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Search,KPP_HOME,Tap
2023-02-15T06:11:03Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,exitBook,In-book,Tap
2025-02-12T22:11:06Z,www.amazon.com,US,Kindle E-reader,Not Available,exitBook,In-book,Tap
2023-03-01T19:53:19Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,Menu,In-book,Tap
2025-04-13T20:09:12Z,www.amazon.com,US,Kindle E-reader,CDR35CJELKKDYPJWZBMD6CG3XFMVZI4U,exitBook,In-book,Tap
2023-05-15T03:08:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Menu,KPP_LIBRARY,Tap
2023-12-23T05:12:56Z,www.amazon.com,US,Kindle E-reader,Not Available,Close,Store,Tap
2023-09-26T01:03:56Z,www.amazon.com,US,Kindle E-reader,B0BJNKTFGH,exitBook,In-book,Tap
2023-04-24T03:08:39Z,www.amazon.com,US,Kindle E-reader,B000U913EI,exitBook,In-book,Tap
2025-07-27T18:31:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-09-21T03:18:52Z,www.amazon.com,US,Kindle E-reader,B0CQJHF3HQ,exitBook,In-book,Tap
2023-03-17T03:00:48Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,exitBook,In-book,Tap
2025-06-23T00:48:20Z,www.amazon.com,US,Kindle E-reader,B0DHDF2RDL,exitBook,In-book,Tap
2023-10-12T16:53:55Z,www.amazon.com,US,Kindle E-reader,B09BV2JNWV,exitBook,In-book,Tap
2024-12-17T05:28:27Z,www.amazon.com,US,Kindle E-reader,NKTH6XIJUZNFZ5PZSSWZ6BGQ6ZLGIKBQ,exitBook,In-book,Tap
2024-08-17T18:17:26Z,www.amazon.com,US,Kindle E-reader,15DCD55913DF40F990711B36DCA2CC83,exitBook,In-book,Tap
2024-05-08T22:36:38Z,www.amazon.com,US,Kindle E-reader,Not Available,exitBook,In-book,Tap
2025-08-01T21:03:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Menu,KPP_SETTINGS,Tap
2023-05-20T03:46:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_HOME,Tap
2023-11-14T02:27:57Z,www.amazon.com,US,Kindle E-reader,B006CUDDUG,Goto,In-book,Tap
2023-12-20T06:02:20Z,www.amazon.com,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2024-03-26T02:53:46Z,www.amazon.com,US,Kindle E-reader,B008J2G5Y6,exitBook,In-book,Tap
2024-02-17T22:31:24Z,www.amazon.com,US,Kindle E-reader,B0044781ZQ,exitBook,In-book,Tap
2024-10-25T03:31:51Z,www.amazon.com,US,Kindle E-reader,CQ3N5YSGGUHIX2SAY53DAX226KYAHXEQ,exitBook,In-book,Tap
2025-07-14T23:40:39Z,www.amazon.com,US,Kindle E-reader,CD2J6YLYY6SMOGLTHM77PUX5YBUTBUKC,exitBook,In-book,Tap
2023-10-07T03:35:18Z,www.amazon.com,US,Kindle E-reader,B0BP66G6B7,exitBook,In-book,Tap
2023-10-31T05:50:11Z,www.amazon.com,US,Kindle E-reader,B0BKH7G2X8,Menu,In-book,Tap
2025-05-11T03:41:54Z,www.amazon.com,US,Kindle E-reader,B0CWFMT5SC,exitBook,In-book,Tap
2023-03-11T22:14:03Z,www.amazon.com,US,Kindle E-reader,B007D1TKAU,exitBook,In-book,Tap
2024-01-27T03:05:38Z,www.amazon.com,US,Kindle E-reader,B0C3C886FY,AaMenu,In-book,Tap
2023-05-20T03:46:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_HOME,Tap
2023-09-25T02:52:10Z,www.amazon.com,US,Kindle E-reader,B0BTVBH6G3,exitBook,In-book,Tap
2023-09-04T01:00:19Z,www.amazon.com,US,Kindle E-reader,B092T947PJ,Goto,In-book,Tap
2025-04-15T21:38:15Z,www.amazon.com,US,Kindle E-reader,Not Available,exitBook,In-book,Tap
2024-11-17T04:21:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2025-02-22T06:41:06Z,www.amazon.com,US,Kindle E-reader,4LXTLEYZY7L7ETOIXN5BEITXMZHJAT2H,exitBook,In-book,Tap
2023-05-15T20:36:51Z,www.amazon.com,US,Kindle E-reader,B0C3QHMLGL,exitBook,Periodicals,Tap
2024-08-01T03:30:22Z,www.amazon.com,US,Kindle E-reader,9CF67106DC3A4A8F90A685EE6DAA2B9F,exitBook,In-book,Tap
