created_timestamp,preferred_marketplace,country,device_family,ASIN,Actions,Kindle Special Offers Status
2023-06-29T10:39:10Z,www.amazon.com,US,Kindle E-reader,B0B7NDZNDV,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-07-29T01:21:20Z,www.amazon.com,US,Kindle E-reader,B084G9Z5C3,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-03-17T02:55:19Z,www.amazon.com,US,Kindle E-reader,B007D1TKAU,exiting lock screen,Kindle Special Offers enabled
2023-07-06T22:16:31Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-07-16T21:36:10Z,www.amazon.com,US,Kindle E-reader,B07GD51NCJ,transition to screen saver,Kindle Special Offers enabled
2023-04-13T18:18:15Z,www.amazon.com,US,Kindle E-reader,B000U913EI,exiting lock screen,Kindle Special Offers enabled
2023-07-28T03:02:45Z,www.amazon.com,US,Kindle E-reader,B084G9Z5C3,exiting lock screen,Kindle Special Offers enabled
2023-02-09T04:55:33Z,www.amazon.com,US,Kindle E-reader,B00PSSG4MM,transition to screen saver,Kindle Special Offers enabled
2023-07-13T02:30:01Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-07-03T03:46:16Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,transition to screen saver,Kindle Special Offers enabled
2023-03-02T04:42:19Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-03-29T18:13:14Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-06-15T20:25:14Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-05-29T15:59:22Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-03-31T04:29:10Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-03-29T02:35:46Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,exiting lock screen,Kindle Special Offers enabled
2023-02-13T19:13:08Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-06-27T03:46:27Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,transition to screen saver,Kindle Special Offers enabled
2023-03-09T03:35:26Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,exiting lock screen,Kindle Special Offers enabled
2023-04-14T22:49:50Z,www.amazon.com,US,Kindle E-reader,B000U913EI,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-06-12T04:17:43Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,transition to screen saver,Kindle Special Offers enabled
2023-05-24T04:11:10Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers enabled
2023-03-25T05:49:12Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,exiting lock screen,Kindle Special Offers enabled
2023-05-01T21:12:03Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers enabled
2023-04-13T04:40:37Z,www.amazon.com,US,Kindle E-reader,B000U913EI,transition to screen saver,Kindle Special Offers enabled
2023-05-13T04:52:36Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,transition to screen saver,Kindle Special Offers enabled
2023-06-13T22:15:06Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,exiting lock screen,Kindle Special Offers enabled
2023-02-20T03:08:10Z,www.amazon.com,US,Kindle E-reader,B01COJUEZ0,exiting lock screen,Kindle Special Offers enabled
2023-07-13T02:30:08Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,exiting lock screen,Kindle Special Offers enabled
2023-03-02T04:19:33Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers enabled
