"Product Name","ASIN","Author ID"
"The Heaven & Earth Grocery Store: A Novel","B0BPNP7YQB","B000AP9SB2"
"The Covenant of Water (Oprah's Book Club)","B0BJSGV831","B000AP9LZ0"
"The Day Tripper: A Powerful Time Travel Redemption Story of Small Actions Leading to Big Consequences","B0C4PX8RD7","B086Z2XSNC"
"Shape: The Hidden Geometry of Information, Biology, Strategy, Democracy, and EverythingElse","B08PF965W9","B001K8IUCG"
"Wandering Stars: A novel","B0C772ZLMQ","B077TXLDMQ"
"The Upstairs Delicatessen: On Eating, Reading, Reading About Eating, and Eating While Reading","B0BQGHJM5L","B003F4Z8SC"
"Salvation of a Saint: A Detective Galileo Novel (Detective Galileo Series Book 2)","B007RMYE9M","B003UVVURI"
"Zero at the Bone: Fifty Entries Against Despair","B0BQGJVCMT","B001JS1YMA"
"The Fury","B0BXTB6HSN","B07CZQY3KT"
"Ordinary Grace: A Novel","B008J2G5Y6","B001H6KG50"
"Scenes from a Childhood — WINNER OF THE 2023 NOBEL PRIZE IN LITERATURE","B07BX82VS9","B001JOR0S6"
"The Clementine Complex","B0BTZRQHJM","B07SXS7HMW"
"Everyone on This Train Is a Suspect: A Novel (The Ernest Cunningham Mysteries Book 2)","B0C6KMGND1","B07WWSMVWC"
"Northwoods: A Novel","B0C7RPT9B3","B0C9BXTVBR"
"I Know What You Did: A Novel","B0BJP5QFFM","B07KX9J53B"
"Heart Sutra","B0B72HGHW8","B0034NEPV0"
"You Dreamed of Empires: A Novel","B0C1YCKNK1","B001JWX44M"
"Northwoods: A Novel","B0C7RQ8Y2F","B0C9BXTVBR"
"The Devotion of Suspect X: A Detective Galileo Novel (Detective Galileo Series Book 1)","B0044781ZQ","B003UVVURI"
"Prophet Song: A Novel (Booker Prize Winner)","B0CLQVQSVL","B00BT0KC94"
"Someone Who Will Love You in All Your Damaged Glory: Stories","B07HDT9JFX","B07S62ZK9K"
"None of This Is True: A Novel","B0BDMPQ2FC","B001IO9ULM"
"Diary of a Void: A Novel","B09LHBX5KV","B099H1YJ74"
"None of This Is True: A Novel","1982179007","B001IO9ULM"
"The MANIAC","0593654471","B086XCPPPK"
"True North: A Novel","B0C592RHNC","B08D3JXR4C"
"The Librarianist: A Novel","B0BH4QWM85","B001JRWCWM"
"Martyr!: A novel","B0C3C886FY","B01MTJENUW"
"The Restaurant Inspector","B0927NRBFB","B08YMR4JVG"
"The Guest List: A Novel","B07WG8L7WC","B00LMBVZNC"
"The Killing Hills (The Mick Hardin Novels Book 1)","B08TF1VTGX","B000AQ4FOQ"
"Aliss at the Fire — WINNER OF THE 2023 NOBEL PRIZE IN LITERATURE","B09RMQJCZJ","B001JOR0S6"
"Shutter Island","B000JMKNV0","B00LMXVRD8"
"Good Bad Girl: A Novel","B0BST5X6GS","B01N7B9IFJ"
"Hello Beautiful (Oprah's Book Club): A Novel","B0B7R4Q5DJ","B001K8VW5S"
"The Day of the Jackal","0553266306","B000APF22Q"
"Ninth House (Ninth House Series Book 1)","B07LF64DZ2","B005ZZ8XQS"
"The Soulmate: A Novel","B09Y467GZY","B00MII822U"
"Everyone in My Family Has Killed Someone: A Novel (The Ernest Cunningham Mysteries Book 1)","B09Y94K74X","B07WWSMVWC"
"Blood Meridian: Or the Evening Redness in the West","0679728759","B000APT0OW"
"Babel: Or the Necessity of Violence: An Arcane History of the Oxford Translators’ Revolution—An Historic Fantasy of Dark Academia, Perfect for Fans of ... Fiction and Nineteenth Century England","B09MD95S5V","B0788VXRHP"
