campaign,preferred_marketplace,country,device_family,kindle_software_version,session_id,campaign_status,last_used_ASIN,home_page_number,campaign_display_position
2025-05-06T03:23:49.118Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,Not Available,1,1
2025-04-13T20:09:02.479Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,Not Available,1,0
2025-03-23T03:56:31.805Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,TEOQR3X2DN2TSHJ276HTYWLF6WUZXQBC,1,2
2025-07-27T18:30:05.253Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,2,2
2025-08-01T03:18:03.769Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,SEZPDYLSFM2BYZQJNVIF2P5X74LX7RKR,1,2
2025-05-06T03:38:50.998Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,WF76OBCUMHIJ33X2SQRIIWKQ4MIBU6FK,1,2
2025-01-04T20:08:11.223Z,www.amazon.com,US,Kindle E-reader,4320330039,131-0015325-6370956,displayed,Not Available,1,0
2025-05-15T00:10:54.610Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,1,2
2025-03-28T04:12:19.357Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,Not Available,1,1
2025-01-07T05:51:43.091Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,Not Available,1,1
2025-03-27T01:48:30.725Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,4BEVZWGVCV6GBB2TWCMA4Q54PC2UHGLZ,1,2
2025-06-23T00:48:30.164Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,Not Available,1,1
2025-06-23T23:48:26.570Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,2,4
2024-08-09T03:30:18.289Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,Not Available,2,4
2025-02-18T22:03:54.346Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,Not Available,1,2
2025-06-24T00:02:18.638Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,5,10
2024-10-02T21:37:14.273Z,www.amazon.com,US,Kindle E-reader,4289730037,Not Applicable,displayed,CFB210D125DE496195B7AE70BACDA51C,1,1
2025-01-05T04:53:05.504Z,www.amazon.com,US,Kindle E-reader,4320330039,Not Applicable,displayed,Not Available,1,1
2024-08-17T18:23:01.245Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,Not Available,2,3
2025-06-09T04:30:43.075Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,JNMIUTPQKYQ7HRUKCLKJX5RHPE3OAK4B,1,1
2025-05-22T23:54:30.100Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,Not Available,1,1
2025-06-19T03:15:20.984Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,Not Available,1,1
2024-08-20T03:59:56.146Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,43CBE4C46DC444119BB4453B4EF2473B,1,2
2025-06-23T23:48:21.973Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,Not Available,1,1
2024-11-02T03:35:23.186Z,www.amazon.com,US,Kindle E-reader,4289730037,131-0015325-6370956,displayed,Not Available,2,4
2024-11-02T03:34:40.524Z,www.amazon.com,US,Kindle E-reader,4289730037,Not Applicable,displayed,Not Available,1,1
2025-06-23T23:50:09.312Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,6,12
2025-05-24T03:40:36.194Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,Not Available,1,1
2025-06-11T03:14:04.604Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,1,2
2025-04-21T22:11:25.177Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,3,6
2024-12-07T06:25:38.616Z,www.amazon.com,US,Kindle E-reader,4320330039,131-0015325-6370956,displayed,B0BZ5Y513V,1,2
2024-10-02T02:49:32.875Z,www.amazon.com,US,Kindle E-reader,4289730037,Not Applicable,displayed,Not Available,1,1
2024-08-17T00:01:24.226Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,Not Available,7,13
2025-04-07T02:32:22.151Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,Not Available,1,1
