country,created_timestamp,preferred_marketplace,device_family,ASIN,customer_action,desired_page_location
US,2024-07-23T04:05:50Z,www.amazon.com,Kindle E-reader,B0C7729CF8,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-06-16T03:37:42Z,www.amazon.com,Kindle E-reader,096E674F00DC4192A0B7E99C3AB4A388,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-01-16T21:57:23Z,www.amazon.com,Kindle E-reader,B07WG8L7WC,Tap on Most Recent Page Read Title,Last Page Read
US,2024-01-26T21:01:52Z,www.amazon.com,Kindle E-reader,B0BJSGV831,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-07-25T20:40:32Z,www.amazon.com,Kindle E-reader,B0C7729CF8,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-29T03:21:11Z,www.amazon.com,Kindle E-reader,B0C772ZLMQ,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-01-26T21:01:55Z,www.amazon.com,Kindle E-reader,B0BJSGV831,Tap on Most Recent Page Read Title,Last Page Read
US,2024-02-07T21:05:06Z,www.amazon.com,Kindle E-reader,B09LHBX5KV,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-07-12T20:09:46Z,www.amazon.com,Kindle E-reader,2C4B5A07F41247DAAF830F1590836876,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-08-18T18:24:28Z,www.amazon.com,Kindle E-reader,B08T6CL58V,Already at Most Recent Page Read,Not Available
US,2023-12-09T19:49:41Z,www.amazon.com,Kindle E-reader,B0C5LRCM2F,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-29T03:21:00Z,www.amazon.com,Kindle E-reader,B0C772ZLMQ,Current Last Page Read Not Present,Not Available
US,2024-02-29T21:15:45Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-02-28T21:32:45Z,www.amazon.com,Kindle E-reader,B0C1YCKNK1,Tap on Most Recent Page Read Title,Last Page Read
US,2024-07-25T00:58:55Z,www.amazon.com,Kindle E-reader,B0C7729CF8,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-02-28T21:32:43Z,www.amazon.com,Kindle E-reader,B0C1YCKNK1,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-05-06T05:22:15Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-12-25T04:48:06Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-01-27T02:58:53Z,www.amazon.com,Kindle E-reader,B0C3C886FY,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
