Created Timestamp,Preferred Marketplace,Country of Residence,Device Family,ASIN,Action,Annotation Type,Start Position,Total Number of Annotations,Highlights Count,Text Notes Count,On Page Note Count,Handwritten Sticky Note Count,Time on Sticky Note Window,Accessibility Screen Reader
2023-09-06T03:04:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-05-25T04:08:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-08-28T17:56:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-03-03T18:53:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-10-01T01:33:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-07-26T03:23:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-11-06T22:53:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-09-09T02:53:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-05-21T21:32:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-11-21T04:29:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-05-29T04:05:42Z,www.amazon.com,US,Kindle E-reader,B07QN87LQB,Create Annotation,Highlight,AcoJAADrAAAA,0,0,0,0,0,0.0000,No
2024-03-30T02:06:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-06-21T03:44:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-09-25T02:52:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-11-01T00:22:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-12-06T21:10:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-04-29T21:02:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-01-08T04:11:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-09-30T02:53:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-06-08T21:12:08Z,www.amazon.com,US,Kindle E-reader,B0B3Y9JVMK,Delete Annotation,Highlight,AegKAABSAAAA,0,0,0,0,0,0.0000,No
2024-07-29T03:28:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-05-06T05:22:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-07-19T21:35:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-10-12T06:03:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-02-13T21:41:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-09-07T04:43:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-03-20T03:54:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-12-23T18:20:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-10-19T04:11:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-12-29T04:50:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-08-28T17:50:55Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-06-13T02:33:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
