created_timestamp,preferred_marketplace,country,device_family,ASIN,Action Type,Navigation Mode,Reading In Full Page Mode,Consecutive Actions Performed
2025-07-29T20:33:07Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Show Navigation Bar,Paginated Reading,No,1
2025-05-27T22:32:55Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Show Navigation Bar,Paginated Reading,No,1
2025-06-26T01:25:34Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Hide Navigation Bar,Paginated Reading,Yes,1
2025-06-26T01:32:23Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Show Navigation Bar,Paginated Reading,No,1
2025-05-29T03:40:59Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Show Navigation Bar,Paginated Reading,No,1
2025-05-27T22:32:55Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,PageTurn,Paginated Reading,Yes,14
2025-06-15T21:15:36Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Show Navigation Bar,Paginated Reading,No,1
2025-06-15T21:23:40Z,www.amazon.com,US,Kindle for Android,Not Available,PageTurn,Paginated Reading,Yes,9
2025-07-29T20:28:25Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,PageTurn,Paginated Reading,Yes,3
2025-05-29T02:50:21Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Show Navigation Bar,Paginated Reading,No,1
2025-05-29T03:47:07Z,www.amazon.com,US,Kindle for Android,QYRAXQVBLI3LB5QJ4JUGQRWU5LOQXERK,Show Navigation Bar,Paginated Reading,No,1
