Creation Date,Amazon Marketplace,ASIN,Product Name,Browse Node,StoreUrl,Device Serial Number,Device Platform,Display Status
2025-05-10T15:25:25Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/64fdd16e-52e7-431d-b5b0-1cad3d11ea09?ref=kc-sp-pw-pr,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-05-08T20:30:19Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindle-dbs/search/?k=B072V27QMZ%7CB072V27QMZ%7CB0DFMNV4Z3%7CB003BRBCFG%7CB08LDWY46J%7CB003BFXAQ2%7CB000FC103Y%7CB075RVQB23%7CB09JPJF3PN%7CB000FCKCEM%7CB00A286Z2W%7CB000OVLKQI%7CB01M7WUYER%7CB0176M3YZW%7CB0015DYL0G%7CB002LZTI6O%7CB0011UEEQ4%7CB004G8QTQQ%7CB003L786H8%7CB0061OSFG0%7CB00GEEB6DG%7CB0CL5F4FKJ%7CB09KHL64DZ%7CB07Q2C3T7Z%7CB0BGKMB7VP%7CB0CQHM432Z%7CB08KH32L1B%7CB01INNBZHM,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-05-06T18:27:26Z,www.amazon.com,B09SKWT6SF,The Murder of Roger Ackroyd,"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-05-06T18:27:26Z,www.amazon.com,B09SKWT6SF,The Murder of Roger Ackroyd,"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-05-06T18:27:26Z,www.amazon.com,B09SKWT6SF,The Murder of Roger Ackroyd (English Edition),"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-05-04T19:11:34Z,www.amazon.com,B0DLLGPNMQ,Gone Gone,"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-05-04T19:11:34Z,www.amazon.com,B0DLLGPNMQ,Gone Gone (English Edition),"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-05-04T19:11:34Z,www.amazon.com,B0DLLGPNMQ,Gone Gone,"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-05-02T18:06:39Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/baeed4aa-aa8c-4a1d-a4b4-4dc4e859d1d3?ref=kc-sp-may-cp,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-05-02T17:04:09Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindlerewards/push/dpd3?ref=kr_krb_dpd,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-05-01T18:30:41Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/b?node=122265750011,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
