asin_date_and_content_type,product_name
B00JX43A0G_2022-06-08_AUTOMATIC,The Rover (Kindle Single)
B0151YQYYU_2022-06-27_AUTOMATIC,Imagine Me Gone
B01LWWK7WR_2022-04-28_AUTOMATIC,Give a Girl a Knife: A Memoir
B0756J4NRG_2022-05-15_AUTOMATIC,Broken Ice: A Novel (Nils Shapiro Book 2)
B077WWXZ41_2020-03-06_AUTOMATIC,Weather: A novel
B07BZ4F75T_2020-03-20_MANUAL,"Maybe You Should Talk to Someone: A Therapist, HER Therapist, and Our Lives Revealed"
B07C3XLBHG_2021-08-06_AUTOMATIC,Indian Horse: A Novel
B07CL5ZLHX_2021-07-30_AUTOMATIC,The Library Book
B07D2C6J4K_2022-05-29_AUTOMATIC,The Silent Patient
B07LGLF1JG_2021-11-29_AUTOMATIC,Goalie Mindset Secrets: 7 Must Have Goalie Mindset Secrets You Don't Learn in School!
B07QBNKJTZ_2020-12-03_MANUAL,So You Want to Talk About Race
B07R5KC59C_2021-03-01_AUTOMATIC,Interior Chinatown: A Novel (National Book Award Winner)
B07RL58ZDG_2020-12-03_AUTOMATIC,The Glass Hotel: A novel
B07TRVW6VX_2020-05-15_MANUAL,"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz"
B07TZYFR71_2022-03-18_AUTOMATIC,Hidden Valley Road: Inside the Mind of an American Family
B07YRWHGYD_2021-02-14_AUTOMATIC,Pizza Girl: A Novel
B07YXS82KD_2020-12-06_AUTOMATIC,This Van Could Be Your Life
B07ZC6W6SV_2021-05-29_AUTOMATIC,Transcendent Kingdom: A Read with Jenna Pick: A novel
B07ZTTH5VD_2021-03-03_AUTOMATIC,A Children's Bible: A Novel
B081Y4J7LD_2021-06-26_AUTOMATIC,The Finisher (A Detective Peter Diamond Mystery Book 19)
B081ZXQB52_2020-12-01_AUTOMATIC,366 Stoic Quotes: A Year Of Stoicism From Ancient And Modern Stoics - A Daily Guide Of Stoic Meditations
B08681BNKV_2021-08-21_AUTOMATIC,The Searcher: A Novel
B08B38JVKY_2022-02-04_AUTOMATIC,The Secret to Superhuman Strength
B08FH9BV7N_2022-04-04_AUTOMATIC,Madhouse at the End of the Earth: The Belgica's Journey into the Dark Antarctic Night
