created_timestamp,preferred_marketplace,country,device_family,ASIN,supports_auxiliary_content,has_auxiliary_content,auxiliary_content_enabled,auxiliary_content_type
2023-08-23T03:43:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2023-04-11T03:08:18Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-01-24T04:06:44Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2023-12-27T03:40:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-09-27T03:42:29Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2025-01-04T20:13:52Z,www.amazon.com,US,Kindle E-reader,OOAZWAIV63UB2CXNZN7NGGRP3MSZBQBM,No,No,Yes,Xray
2022-07-18T03:00:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2023-12-29T04:53:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-07-20T03:52:19Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2021-09-05T03:19:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-07-27T18:33:30Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2021-09-05T14:25:20Z,www.amazon.com,US,Kindle E-reader,B000FC0R7O,Yes,Yes,Yes,Xray
2022-04-28T20:18:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-03-14T03:57:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-02-21T23:01:06Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2023-06-13T22:22:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2021-07-24T03:39:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-01-07T05:31:35Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2025-05-24T03:40:31Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2025-01-06T23:58:05Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2023-10-07T03:36:14Z,www.amazon.com,US,Kindle E-reader,B0BP66G6B7,Yes,Yes,Yes,Xray
2024-02-13T21:41:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-04-14T21:38:20Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2023-08-26T03:44:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-03-04T05:50:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2025-01-13T04:56:41Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2024-03-04T22:35:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-01-21T05:42:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2021-12-10T23:24:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2023-11-03T03:19:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2021-07-28T04:24:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-03-11T04:58:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2023-02-20T21:50:39Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2024-05-17T00:59:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-01-29T21:12:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2021-08-14T02:52:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-03-23T04:35:55Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-08-15T03:22:20Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-09-13T04:18:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2021-10-25T02:59:44Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-03-05T05:28:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2023-10-12T16:53:06Z,www.amazon.com,US,Kindle E-reader,B004HW7DZ2,Yes,Yes,Yes,Xray
2024-01-26T05:03:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-05-11T04:54:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-05-30T01:23:09Z,www.amazon.com,US,Kindle E-reader,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,No,No,Yes,Xray
2022-01-13T20:28:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-01T04:42:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2023-12-06T21:13:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-07-15T22:11:34Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2024-06-13T02:33:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-10-06T04:06:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2025-08-01T04:20:12Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2024-10-23T03:27:13Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2023-12-11T17:06:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-11-05T02:42:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2021-07-26T03:34:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2021-09-10T02:00:19Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2021-08-04T23:20:18Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2023-05-18T03:53:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-05-06T05:22:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2025-01-29T04:25:58Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2024-12-30T20:38:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-11-07T03:39:24Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2023-03-29T02:38:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2025-03-27T01:48:28Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2021-07-31T03:30:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-09-28T04:18:42Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2021-10-25T21:17:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-09-27T03:50:21Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2024-05-13T03:05:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-11-17T04:29:51Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2022-04-29T03:25:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2023-08-28T17:56:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-02-04T04:50:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2022-04-20T04:03:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2021-09-29T21:00:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-04-01T21:37:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-03-04T06:07:55Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2022-08-31T03:04:25Z,www.amazon.com,US,Kindle E-reader,B09JPFYQY2,Yes,Yes,Yes,Xray
2022-11-04T02:11:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-04-22T03:36:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-09-02T03:46:13Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2021-07-24T23:57:33Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2025-04-15T21:43:13Z,www.amazon.com,US,Kindle E-reader,II6J4O2WEM4UWTX47RYFLMDPIEDR6GET,No,No,Yes,Xray
2023-11-16T03:12:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2021-07-24T21:18:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-02-25T00:58:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-11-16T04:34:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2022-03-03T23:47:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-04-17T04:01:28Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2022-09-20T03:19:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2022-07-25T16:19:21Z,www.amazon.com,US,Kindle E-reader,B097T5JR84,Yes,Yes,Yes,Xray
2021-09-05T14:24:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-05-15T03:45:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2022-07-05T04:12:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-12-15T04:11:42Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-03-04T22:13:51Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2022-01-14T05:40:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-11-27T04:44:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-12-08T05:47:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-14T03:50:35Z,www.amazon.com,US,Kindle E-reader,B0BPNP7YQB,Yes,Yes,Yes,Xray
2024-03-14T03:50:21Z,www.amazon.com,US,Kindle E-reader,B0BPNP7YQB,Yes,Yes,Yes,Xray
2025-02-21T22:58:01Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2023-05-12T02:43:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-04-28T01:55:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-05-13T03:16:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2025-02-06T21:43:10Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2022-12-20T03:43:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-11-06T04:29:14Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2022-03-04T06:01:55Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-08-01T04:00:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-04-09T20:06:31Z,www.amazon.com,US,Kindle E-reader,B08G1NJK2R,Yes,Yes,Yes,Xray
2023-05-17T03:52:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2023-09-09T03:00:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-07-30T03:27:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-09-01T15:58:49Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2021-11-03T18:11:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-11-17T04:54:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2025-01-05T04:53:41Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2022-09-06T02:43:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-30T02:07:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-03-25T21:58:21Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2025-04-18T03:27:16Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2024-04-02T20:58:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-02-05T04:41:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2022-05-09T02:40:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2023-01-03T05:08:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-04-27T03:35:15Z,www.amazon.com,US,Kindle E-reader,C6ATPLQ37HSITPZJ3VQPW6KVAJUUMK7Y,No,No,Yes,Xray
2024-09-12T22:12:30Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2024-04-15T20:36:51Z,www.amazon.com,US,Kindle E-reader,B003B4IW2U,Yes,Yes,Yes,Xray
2022-08-15T03:44:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-07-30T21:09:07Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2023-05-20T03:44:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
