created_timestamp,preferred_marketplace,country,device_family,ASIN,wakeup_reason,time_in_hibernate_ms
2023-07-09T08:42:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,11055000
2023-07-21T08:14:19Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,12888000
2023-05-09T03:00:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,15852000
2023-07-13T02:30:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,63931000
2023-02-01T19:31:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,41118000
2023-03-24T04:36:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,20959000
2023-04-13T04:09:35Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,49387000
2023-07-25T02:38:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,64413000
2022-12-20T03:41:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,70522000
2023-01-22T07:28:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,84133000
2023-04-29T07:59:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,28721000
2023-03-08T22:10:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,50636000
2023-07-13T07:21:19Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,11649000
2022-12-24T19:22:51Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,1549000
2023-01-18T03:47:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,70785000
2023-06-19T00:18:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,56066000
2023-06-23T19:24:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,38383000
2023-02-22T00:33:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,3115000
2023-04-16T03:19:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,66942000
2022-12-17T08:04:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,86300000
2023-05-14T21:48:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,1867000
2023-04-09T18:52:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,36475000
2023-02-10T04:47:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,74481000
2023-01-27T00:13:18Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,6606000
2023-01-31T04:33:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,21473000
2023-06-29T07:49:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,10501000
2023-07-17T07:44:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,8268000
2022-12-25T23:34:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,55693000
2023-05-15T02:32:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,4505000
2023-04-27T02:50:18Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,13202000
2023-03-30T03:48:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,9480000
2023-05-21T16:55:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,29331000
2023-06-08T08:42:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,12982000
2023-06-29T21:06:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,33207000
2023-06-30T08:25:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,12015000
2023-02-09T08:04:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,7519000
2023-04-27T22:14:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,48635000
2022-12-23T04:23:44Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,20668000
2023-07-17T20:46:22Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,43301000
2023-03-30T08:20:47Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,7276000
2023-04-21T08:38:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,12275000
2023-05-02T01:18:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,10952000
2023-06-23T03:26:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,11379000
2022-12-21T07:26:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,23204000
2023-06-24T07:41:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,13625000
2023-07-10T03:25:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,67241000
2023-03-29T02:35:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,64274000
2023-05-05T08:16:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,13269000
2023-07-22T03:18:47Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,11513000
2023-07-05T07:13:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,9853000
2023-03-02T22:47:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,52887000
2023-01-23T08:02:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,86161000
2023-07-21T20:41:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,42867000
2023-06-22T20:37:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,42729000
2023-06-06T08:26:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,85188000
2023-07-11T08:32:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,13043000
2023-01-04T04:20:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,72410000
2023-06-03T07:41:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,8583000
2022-12-18T07:17:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,83376000
2023-01-13T08:04:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,7616000
2023-04-02T18:43:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,35850000
2023-02-04T07:26:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,84021000
2022-12-26T07:42:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,8093000
2023-03-05T04:29:13Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,73381000
2023-03-15T07:58:51Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,15793000
2023-04-19T21:32:20Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,46092000
2023-06-26T21:29:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,45880000
2023-03-17T20:15:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,41488000
2023-05-02T08:18:13Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,13650000
2023-07-05T02:14:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,8174000
2022-12-03T04:36:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,20171000
2023-01-14T07:07:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,82784000
2023-06-20T07:01:51Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,9451000
2023-07-25T08:21:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,14162000
2023-01-05T08:04:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,86218000
2023-01-07T08:04:35Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,86167000
2023-06-30T18:15:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,34276000
2023-05-24T03:19:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,10491000
2023-06-12T03:22:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,66987000
2022-12-16T04:01:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,13083000
2023-02-24T03:56:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,24312000
2023-04-28T07:12:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,7413000
2023-07-26T03:08:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,66197000
