created_timestamp,preferred_marketplace,country,device_family,ASIN,ads_or_recommendations_type,ads_or_recommendations_asin,ad_or_recommendation_location,ad_or_recommendation_position
2023-03-07T04:24:09Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-06-22T20:38:11Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,Recommended for You Recommendation,B0B7R4Q5DJ,Lockscreen,Lockscreen
2023-06-22T03:53:57Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,Recommended for You Recommendation,B0BGK6DP8L,Lockscreen,Lockscreen
2023-04-08T04:51:30Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-04-04T04:09:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Recommended for You Recommendation,B09QBYCC3J,Lockscreen,Lockscreen
2023-06-20T03:20:56Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,More by Author Recommendation,B0B5SR4KBR,Lockscreen,Lockscreen
2023-07-26T04:06:44Z,www.amazon.com,US,Kindle E-reader,B084G9Z5C3,More by Author Recommendation,B0BH4QWM85,Lockscreen,Lockscreen
2023-04-02T23:00:20Z,www.amazon.com,US,Kindle E-reader,B075SPBQDV,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-03-29T11:19:52Z,www.amazon.com,US,Kindle E-reader,B0B3989NDF,Recommended for You Recommendation,B08B4751R9,Lockscreen,Lockscreen
2023-06-03T07:41:14Z,www.amazon.com,US,Kindle E-reader,B0B6JSJQLH,More by Author Recommendation,B0796Y2N6T,Lockscreen,Lockscreen
2023-03-11T05:52:09Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,More by Author Recommendation,B077THXGQ6,Lockscreen,Lockscreen
2023-03-29T17:30:27Z,www.amazon.com,US,Kindle E-reader,B0B3989NDF,Recommended for You Recommendation,B09G9D94VW,Lockscreen,Lockscreen
2023-04-27T07:00:45Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,Recommended for You Recommendation,B0B7R4Q5DJ,Lockscreen,Lockscreen
2023-05-01T21:12:04Z,www.amazon.com,US,Kindle E-reader,Not Available,More by Author Recommendation,B07BW8BBB6,Lockscreen,Lockscreen
2023-04-11T04:07:51Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Recommended for You Recommendation,B07S1X9K9J,Lockscreen,Lockscreen
2023-06-26T08:42:32Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,More by Author Recommendation,B08BWVWD3L,Lockscreen,Lockscreen
2023-04-15T08:17:39Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Recommended for You Recommendation,B09Y46DSD7,Lockscreen,Lockscreen
2023-04-29T07:59:10Z,www.amazon.com,US,Kindle E-reader,Not Available,More by Author Recommendation,B0734YQFF1,Lockscreen,Lockscreen
2023-02-07T07:32:39Z,www.amazon.com,US,Kindle E-reader,Not Available,More by Author Recommendation,B06ZYGFRN6,Lockscreen,Lockscreen
2023-05-08T07:49:27Z,www.amazon.com,US,Kindle E-reader,B084357H23,More by Author Recommendation,B0BVK8GCGR,Lockscreen,Lockscreen
2023-02-20T02:27:00Z,www.amazon.com,US,Kindle E-reader,B01COJUEZ0,More by Author Recommendation,B00TBKYKWE,Lockscreen,Lockscreen
2023-06-24T02:51:06Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-05-17T08:29:11Z,www.amazon.com,US,Kindle E-reader,B00AG8GXVQ,More by Author Recommendation,B076JHZCMH,Lockscreen,Lockscreen
2023-04-01T23:53:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Recommended for You Recommendation,B09Y46DSD7,Lockscreen,Lockscreen
2023-04-12T07:29:32Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-02-13T20:38:39Z,www.amazon.com,US,Kindle E-reader,Not Available,More by Author Recommendation,B06ZYGFRN6,Lockscreen,Lockscreen
2023-05-26T08:42:23Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,More by Author Recommendation,B0BBCB6PFC,Lockscreen,Lockscreen
2023-07-24T07:11:13Z,www.amazon.com,US,Kindle E-reader,B0BH4QWM85,Recommended for You Recommendation,B0BC1R9ZT5,Lockscreen,Lockscreen
2023-04-05T08:14:49Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,More by Author Recommendation,B077J7D4FM,Lockscreen,Lockscreen
2023-04-26T00:20:47Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-03-03T20:49:17Z,www.amazon.com,US,Kindle E-reader,B09NW4FN2R,Recommended for You Recommendation,B09G9D94VW,Lockscreen,Lockscreen
2023-03-29T04:38:00Z,www.amazon.com,US,Kindle E-reader,B0B3989NDF,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-03-26T07:44:41Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,Recommended for You Recommendation,B0865Z9S5L,Lockscreen,Lockscreen
2023-02-20T02:29:01Z,www.amazon.com,US,Kindle E-reader,B01COJUEZ0,More by Author Recommendation,B08K3T7FCF,Lockscreen,Lockscreen
2023-06-20T08:07:52Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-03-14T06:16:59Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-02-15T06:26:19Z,www.amazon.com,US,Kindle E-reader,Not Available,More by Author Recommendation,B000QUCO3U,Lockscreen,Lockscreen
2023-03-02T04:19:47Z,www.amazon.com,US,Kindle E-reader,Not Available,More by Author Recommendation,B074ZNXKN9,Lockscreen,Lockscreen
2023-04-07T07:07:02Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,More by Author Recommendation,B07W3NGXJM,Lockscreen,Lockscreen
2023-03-13T05:45:59Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,More by Author Recommendation,B00B228BR4,Lockscreen,Lockscreen
2023-03-09T03:52:58Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,Recommended for You Recommendation,B09Q7XH3N8,Lockscreen,Lockscreen
2023-05-13T04:52:37Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,More by Author Recommendation,B0769YSWPZ,Lockscreen,Lockscreen
2023-03-02T08:04:11Z,www.amazon.com,US,Kindle E-reader,B01HLY0Z0W,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-04-24T22:43:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Recommended for You Recommendation,B01COJUFIQ,Lockscreen,Lockscreen
2023-02-14T07:04:57Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,More by Author Recommendation,B08K3T7FCF,Lockscreen,Lockscreen
2023-04-01T20:09:10Z,www.amazon.com,US,Kindle E-reader,B075SPBQDV,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-02-12T06:36:04Z,www.amazon.com,US,Kindle E-reader,B00PSSG4MM,More by Author Recommendation,B09NTK9WDQ,Lockscreen,Lockscreen
2023-03-29T18:11:44Z,www.amazon.com,US,Kindle E-reader,B0B3989NDF,Recommended for You Recommendation,B09VWWN5BJ,Lockscreen,Lockscreen
2023-06-28T21:10:26Z,www.amazon.com,US,Kindle E-reader,B0B7NDZNDV,More by Author Recommendation,B000GCFX6S,Lockscreen,Lockscreen
2023-03-29T20:46:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Recommended for You Recommendation,B096XHK8TG,Lockscreen,Lockscreen
2023-05-03T01:27:28Z,www.amazon.com,US,Kindle E-reader,B084357H23,More by Author Recommendation,B0C3356SKT,Lockscreen,Lockscreen
2023-05-23T22:00:47Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,More by Author Recommendation,B076GQD5QN,Lockscreen,Lockscreen
2023-03-14T04:57:41Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,More by Author Recommendation,B0926C9NW9,Lockscreen,Lockscreen
2023-07-14T03:15:57Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,Recommended for You Recommendation,B0B7R4Q5DJ,Lockscreen,Lockscreen
2023-03-09T04:58:29Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,Recommended for You Recommendation,B08B4751R9,Lockscreen,Lockscreen
2023-04-20T19:49:07Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Recommended for You Recommendation,B07S1X9K9J,Lockscreen,Lockscreen
2023-07-15T03:52:27Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,Recommended for You Recommendation,B08B4751R9,Lockscreen,Lockscreen
2023-07-21T03:36:07Z,www.amazon.com,US,Kindle E-reader,B07GD51NCJ,More by Author Recommendation,B001P9O31C,Lockscreen,Lockscreen
2023-05-27T18:24:37Z,www.amazon.com,US,Kindle E-reader,B098433CGQ,More by Author Recommendation,B0BBCB6PFC,Lockscreen,Lockscreen
2023-02-11T08:04:36Z,www.amazon.com,US,Kindle E-reader,B00PSSG4MM,More by Author Recommendation,B09NTK9WDQ,Lockscreen,Lockscreen
2023-05-03T00:06:07Z,www.amazon.com,US,Kindle E-reader,B084357H23,More by Author Recommendation,B09RTYQW2S,Lockscreen,Lockscreen
2023-05-31T08:23:31Z,www.amazon.com,US,Kindle E-reader,Not Available,More by Author Recommendation,B0BBCB6PFC,Lockscreen,Lockscreen
2023-04-21T04:10:53Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,Recommended for You Recommendation,B0B7R4Q5DJ,Lockscreen,Lockscreen
2023-03-18T04:57:31Z,www.amazon.com,US,Kindle E-reader,B006CUDDUG,Recommended for You Recommendation,B09QBYCC3J,Lockscreen,Lockscreen
2023-05-30T08:42:34Z,www.amazon.com,US,Kindle E-reader,Not Available,More by Author Recommendation,B076GQCBFP,Lockscreen,Lockscreen
2023-07-03T03:46:17Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,Recommended for You Recommendation,B0BJ6NF4W3,Lockscreen,Lockscreen
2023-02-20T22:34:13Z,www.amazon.com,US,Kindle E-reader,Not Available,More by Author Recommendation,B07CL53JRT,Lockscreen,Lockscreen
2023-06-24T08:42:04Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,Recommended for You Recommendation,B0BDQKVH9L,Lockscreen,Lockscreen
