created_timestamp,preferred_marketplace,country,device_family,ASIN,sync_experience,sync_action
2024-07-02T21:19:16Z,www.amazon.com,US,Kindle E-reader,C36A14E8EC2F4079AD3377ED35C616AE,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2023-10-24T03:20:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-15T20:35:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2023-08-09T02:17:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2023-12-25T04:47:35Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-11-06T22:53:56Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-10-19T04:11:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-15T20:36:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2023-11-09T04:35:31Z,www.amazon.com,US,Kindle E-reader,B07CWDMQ45,Sync is Performed,Manual Sync Action Clicked Inside the Book
2023-12-13T21:54:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-04-15T20:36:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-12-25T04:47:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2023-09-28T04:08:51Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-03-26T02:46:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-10-24T03:20:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-03-26T02:46:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2023-11-22T03:30:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-09-25T02:55:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-01-26T04:45:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-12-23T18:11:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-11-22T03:30:22Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-06-04T22:57:55Z,www.amazon.com,US,Kindle E-reader,B09X34KMRM,Sync is Performed,Manual Sync Action Clicked Inside the Book
2024-01-07T21:07:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
