"Product Name","ASIN","Author Name"
"None of This Is True: A Novel","B0BDMPQ2FC","Jewell, Lisa"
"Diary of a Void: A Novel","B09LHBX5KV","Yagi, Emi"
"None of This Is True: A Novel","1982179007","Jewell, Lisa"
"The MANIAC","0593654471","Labatut, Benjamin"
"True North: A Novel","B0C592RHNC","Graff, Andrew J."
"The Librarianist: A Novel","B0BH4QWM85","deWitt, Patrick"
"Martyr!: A novel","B0C3C886FY","Akbar, Kaveh"
"The Restaurant Inspector","B0927NRBFB","Pickett, Alex"
"The Guest List: A Novel","B07WG8L7WC","Foley, Lucy"
"The Killing Hills (The Mick Hardin Novels Book 1)","B08TF1VTGX","Offutt, Chris"
"Aliss at the Fire — WINNER OF THE 2023 NOBEL PRIZE IN LITERATURE","B09RMQJCZJ","Fosse, Jon"
"Shutter Island","B000JMKNV0","Lehane, Dennis"
"Good Bad Girl: A Novel","B0BST5X6GS","Feeney, Alice"
"Hello Beautiful (Oprah's Book Club): A Novel","B0B7R4Q5DJ","Napolitano, Ann"
"The Day of the Jackal","0553266306","Frederick Forsyth"
"Ninth House (Ninth House Series Book 1)","B07LF64DZ2","Bardugo, Leigh"
"The Soulmate: A Novel","B09Y467GZY","Hepworth, Sally"
"Everyone in My Family Has Killed Someone: A Novel (The Ernest Cunningham Mysteries Book 1)","B09Y94K74X","Stevenson, Benjamin"
"Blood Meridian: Or the Evening Redness in the West","0679728759","Cormac McCarthy"
"Babel: Or the Necessity of Violence: An Arcane History of the Oxford Translators’ Revolution—An Historic Fantasy of Dark Academia, Perfect for Fans of ... Fiction and Nineteenth Century England","B09MD95S5V","Kuang, R. F"
"Lay Your Body Down: A Novel of Suspense","B09721CTG1","Clarke, Amy Suiter"
"The Plotters: A Novel","B07CWDMQ45","Kim, Un-su"
"Smarter Not Harder: The Biohacker's Guide to Getting the Body and Mind You Want","B0B399L6KP","Asprey, Dave"
"Four Thousand Weeks: Time Management for Mortals","B08FGV64B1","Burkeman, Oliver"
"Yellowface: A Chilling Novel of Racism and Cultural Appropriation from the author of Katabasis","B0B9SN8K6H","Kuang, R. F"
"Wellness: A Novel (Oprah's Book Club)","B0BR511292","Hill, Nathan"
"The Mystery Guest: A Maid Novel (Molly the Maid Book 2)","B0C5LRCM2F","Prose, Nita"
"Fast After 50: How to Race Strong for the Rest of Your Life","1937715264","Friel, Joe"
"The Spy Who Came in from the Cold: A George Smiley Novel (George Smiley Novels Book 3)","B006CUDDUG","le Carré, John"
"I Have Some Questions for You: A Novel","B09ZRWP8DS","Makkai, Rebecca"
"The Longest Race: Inside the Secret World of Abuse, Doping, and Deception on Nike's Elite Running Team","1982179147","Goucher, Kara"
"Beastie Boys Book","0812995546","Diamond, Michael"
"Beastie Boys Book","0812995546","Horovitz, Adam"
"North Woods: A Novel","B0BPX7SF89","Mason, Daniel"
"Chain Gang All Stars: A Read with Jenna Pick: National Book Award Finalist","B0B5ST3XX4","Adjei-Brenyah, Nana Kwame"
"Starter Villain","B0B9KVXCQ6","Scalzi, John"
"Breaking and Entering","B0BKH7G2X8","Gillmor, Don"
"Slow Horses (Slough House Book 1)","B004HW7DZ2","Herron, Mick"
"Trust (Pulitzer Prize Winner)","B09BV2JNWV","Diaz, Hernan"
"No One Will Miss Her: A Dark and Compelling Mystery with a Devious Plot, Get Ready to Unravel the Secrets!","B08SMFSLVQ","Rosenfield, Kat"
"The Sullivanians: Sex, Psychotherapy, and the Wild Life of an American Commune","B0BBC769LV","Stille, Alexander"
"Somebody's Fool: A novel (North Bath Trilogy Book 3)","B0BKKVQPLB","Russo, Richard"
"The Rise: A Short Story","B0CBW58P3J","Rankin, Ian"
"The Fraud: A Novel","B0BP66G6B7","Smith, Zadie"
"How Can I Help You","B0BJNKTFGH","Sims, Laura"
"The Last Devil to Die: A Thursday Murder Club Mystery (Thursday Murder Club Mysteries Book 4)","B0BQLKNTYR","Osman, Richard"
"The Vaster Wilds: A Novel","B0BTVBH6G3","Groff, Lauren"
"The Girl in the Eagle's Talons: A Lisbeth Salander Novel (The Girl with the Dragon Tattoo (Lisbeth Salander / Millennium) Book 7)","B0BLY7J9DC","Smirnoff, Karin"
"What You Are Looking For Is in the Library: A Touching Narrative of Self-Discovery, Community Bonds and the Joys of Reading in Tokyo's Libraries","B0BT82YGGF","Aoyama, Michiko"
"Small World: A Novel","B08T6CL58V","Evison, Jonathan"
"The Golden Couple: A Novel","B092T947PJ","Hendricks, Greer"
"The Golden Couple: A Novel","B092T947PJ","Pekkanen, Sarah"
"Ella Minnow Pea: A Novel in Letters","0385722435","Dunn, Mark"
"How Minds Change: The Surprising Science of Belief, Opinion, and Persuasion","B093R2CP2V","McRaney, David"
"Path Lit by Lightning: The Life of Jim Thorpe","B09JPFYQY2","Maraniss, David"
"Tom Lake: A Reese’s Book Club Pick","B0BL126WSH","Patchett, Ann"
"Good Family","1250810175","Goldman, Matt"
"The School of Hard Talks: How to Have Real Conversations with Your (Almost Grown) Kids","1632174707","Kline  PhD, Emily"
"I Am Homeless If This Is Not My Home: A novel","B0BG13PH57","Moore, Lorrie"
"National Geographic Guide to National Parks of the United States, 8th Edition (National Geographic Guide to the National Parks of the United States)","B016TG0SAK","National Geographic"
"Mac's Problem","B07GJBCLHN","Vila-Matas, Enrique"
"One by One","B084G9Z5C3","Ware, Ruth"
"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession","0525657320","Finkel, Michael"
"Rabbits for Food","B07GD51NCJ","Kirshenbaum, Binnie"
"Choosing to Run: A Memoir","0593186648","Linden, Des"
"Zero Days","B0BHTN6TL6","Ware, Ruth"
"Small Mercies: A Detective Mystery","B0B7NDZNDV","Lehane, Dennis"
