created_timestamp,preferred_marketplace,country,device_family,last_used_ASIN,kindle_software_version,action_performed,item_position,user_action_type,campiaign_page_position
2023-07-26T20:35:37Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4064600031,Book Selected,Selected Campaign Header,tap,1
2024-04-30T03:20:30Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4212840015,Book Selected,Action Performed in Second Book of the Campaign,tap,1
2025-03-25T21:57:28Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4351860007,Book Selected,Selected Campaign Header,tap,1
2024-01-10T17:02:05Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4142850042,Tap on Card Title,Selected Campaign Header,tap,3
2023-02-20T22:19:42Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,Menu Option Selected,Action Performed in First Book of the Campaign,tap,1
2025-07-06T03:29:38Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4417610025,Book Selected,Action Performed in First Book of the Campaign,tap,1
2023-04-28T03:36:14Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,Menu Option Selected,Action Performed in Fourth Book of the Campaign,tap,1
2024-01-20T04:50:20Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4142850042,com.amazon.library.actions.remove_this_sample,Selected Campaign Header,book_detail_view_action,1
2025-01-05T05:52:42Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4320330039,Book Selected,Action Performed in Second Book of the Campaign,tap,1
2023-04-28T03:36:20Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,com.amazon.library.actions.return_borrowed_book_action,Action Performed in Fourth Book of the Campaign,book_detail_view_action,1
2023-05-16T04:39:55Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,Tap on Card Title,Selected Campaign Header,tap,1
2024-01-16T02:24:47Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4142850042,Book Selected,Action Performed in Second Book of the Campaign,tap,1
2024-05-13T02:42:02Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4212840015,Book Selected,Action Performed in First Book of the Campaign,tap,1
2024-05-30T03:24:54Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4212840015,Tap on Card Title,Selected Campaign Header,tap,1
2023-02-15T06:06:44Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,com.amazon.library.actions.return_borrowed_book_action,Selected Campaign Header,book_detail_view_action,1
2023-06-03T17:22:09Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,com.amazon.library.actions.return_borrowed_book_action,Selected Campaign Header,book_detail_view_action,1
2023-04-12T00:30:04Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,asin_horizontal_scroll_1_4,Selected Campaign Header,BackwardHorizontalScroll,1
2023-10-19T04:11:54Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4097540002,Tap on Card Title,Selected Campaign Header,tap,1
2025-06-24T04:41:02Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4417610025,Book Selected,Selected Campaign Header,tap,1
2024-01-15T18:26:21Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4142850042,Book Selected,Action Performed in Second Book of the Campaign,tap,1
2023-07-21T23:03:17Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4064600031,com.amazon.library.actions.remove_this_sample,Action Performed in Fifth Book of the Campaign,book_detail_view_action,1
2024-08-07T21:05:15Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4270250001,Book Selected,Selected Campaign Header,tap,1
2023-11-16T03:11:49Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4131230058,Book Selected,Action Performed in Second Book of the Campaign,tap,1
2023-02-15T06:06:41Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,Book Information Page Invoked,Selected Campaign Header,hold,1
2024-12-06T05:08:59Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4320330039,Menu Option Selected,Selected Campaign Header,tap,1
2023-01-12T05:33:34Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,Book Selected,Action Performed in Fifth Book of the Campaign,tap,1
2023-01-03T05:07:51Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,Menu Option Selected,Action Performed in First Book of the Campaign,tap,1
2023-08-05T04:45:03Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4064600031,Menu Option Selected,Action Performed in Second Book of the Campaign,tap,1
2023-06-14T03:44:42Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,Menu Option Selected,Action Performed in First Book of the Campaign,tap,1
2024-03-03T18:53:54Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4169610030,Book Selected,Action Performed in First Book of the Campaign,tap,1
2025-06-24T00:02:33Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4417610025,com.amazon.library.actions.remove_this_sample,Selected Campaign Header,book_detail_view_action,1
2025-05-06T03:39:00Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4417610025,Menu Option Selected,Selected Campaign Header,tap,1
2025-04-27T03:30:30Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4417610025,Book Selected,Selected Campaign Header,tap,1
