created_timestamp,preferred_marketplace,device_family,card_name,card_position
2022-12-25T19:31:18Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-07-04T18:22:40Z,www.amazon.com,Kindle for Android,Reading Insights,4
2023-03-25T18:13:42Z,www.amazon.com,Kindle for Android,,1
2022-12-16T05:09:41Z,www.amazon.com,Kindle for Android,,1
2023-04-30T21:03:32Z,www.amazon.com,Kindle for Android,,3
2023-07-03T15:17:31Z,www.amazon.com,Kindle for Android,,1
2023-03-07T03:52:30Z,www.amazon.com,Kindle for Android,More by [author name],8
2023-07-06T19:04:29Z,www.amazon.com,Kindle for Android,More like [book title],1
2022-12-18T22:27:29Z,www.amazon.com,Kindle for Android,More like [book title],7
2023-02-20T03:01:19Z,www.amazon.com,Kindle for Android,Recommended for you in Kindle Unlimited,2
2022-12-16T05:11:09Z,www.amazon.com,Kindle for Android,More like [book title],7
2023-02-05T20:50:53Z,www.amazon.com,Kindle for Android,,2
2023-02-20T03:01:42Z,www.amazon.com,Kindle for Android,,3
2023-01-12T05:36:10Z,www.amazon.com,Kindle for Android,More like [book title],1
2022-12-16T04:20:44Z,www.amazon.com,Kindle for Android,,1
2023-04-13T10:37:10Z,www.amazon.com,Kindle for Android,,2
2022-12-20T18:59:50Z,www.amazon.com,Kindle for Android,,1
2022-12-16T05:11:01Z,www.amazon.com,Kindle for Android,,1
2023-07-04T18:22:20Z,www.amazon.com,Kindle for Android,,1
2023-02-15T06:18:29Z,www.amazon.com,Kindle for Android,,11
2022-12-14T17:44:35Z,www.amazon.com,Kindle for Android,,1
2023-05-02T01:24:42Z,www.amazon.com,Kindle for Android,,2
2023-06-14T22:23:06Z,www.amazon.com,Kindle for Android,More like [book title],2
2022-12-20T19:00:35Z,www.amazon.com,Kindle for Android,More like [book title],7
2023-06-06T01:41:29Z,www.amazon.com,Kindle for Android,Based on your reading in Kindle Unlimited,1
2023-04-28T19:54:12Z,www.amazon.com,Kindle for Android,Recommended for you,1
2023-07-21T15:52:15Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-07-16T21:10:06Z,www.amazon.com,Kindle for Android,,1
2023-01-19T05:42:39Z,www.amazon.com,Kindle for Android,More by [author name],2
2022-12-14T17:45:01Z,www.amazon.com,Kindle for Android,,2
2023-02-20T19:32:34Z,www.amazon.com,Kindle for Android,Expand your reading horizons,1
2023-02-20T03:02:00Z,www.amazon.com,Kindle for Android,,9
2023-03-09T03:07:42Z,www.amazon.com,Kindle for Android,Expand your reading horizons,3
2023-06-08T21:27:54Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-03-07T03:52:30Z,www.amazon.com,Kindle for Android,More like [book title],7
2022-12-18T22:27:06Z,www.amazon.com,Kindle for Android,Reading Insights,2
2023-02-20T19:32:34Z,www.amazon.com,Kindle for Android,Upcoming releases for you,2
2023-02-15T06:02:29Z,www.amazon.com,Kindle for Android,,13
2023-02-28T19:20:24Z,www.amazon.com,Kindle for Android,More like [book title],6
2023-07-23T16:50:02Z,www.amazon.com,Kindle for Android,,1
2022-12-31T23:09:09Z,www.amazon.com,Kindle for Android,More like [book title],2
2022-12-14T17:45:01Z,www.amazon.com,Kindle for Android,,1
2023-05-20T03:52:18Z,www.amazon.com,Kindle for Android,,2
2023-02-28T00:02:49Z,www.amazon.com,Kindle for Android,,1
2023-02-28T19:20:16Z,www.amazon.com,Kindle for Android,,3
2022-12-16T13:32:09Z,www.amazon.com,Kindle for Android,,13
2022-12-31T23:09:09Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-01-25T00:55:23Z,www.amazon.com,Kindle for Android,,1
2023-01-12T05:35:48Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-01-07T06:09:39Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-02-15T06:17:54Z,www.amazon.com,Kindle for Android,,13
2023-02-20T03:00:36Z,www.amazon.com,Kindle for Android,Recommended for you in Kindle Unlimited,2
2022-12-16T05:09:48Z,www.amazon.com,Kindle for Android,,3
2023-02-20T03:01:43Z,www.amazon.com,Kindle for Android,,4
