created_timestamp,preferred_marketplace,country,device_family,content_id,connection _type,connection_state,connection_setting_changed
2023-07-16T08:42:37Z,www.amazon.com,US,Kindle E-reader,B07GD51NCJ,wireless,wifi,by user
2023-03-30T05:07:06Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-03-02T22:47:48Z,www.amazon.com,US,Kindle E-reader,B01HLY0Z0W,wireless,wifi,by user
2023-03-21T04:20:21Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,wireless,wifi,by user
2023-04-22T03:55:38Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-03-24T05:02:14Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-22T03:42:02Z,www.amazon.com,US,Kindle E-reader,B08NT2VSWF,wireless,wifi,by user
2023-07-12T08:42:41Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,wireless,wifi,by user
2023-05-02T23:59:19Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-01T04:55:28Z,www.amazon.com,US,Kindle E-reader,B075SPBQDV,wireless,wifi,by user
2023-07-20T03:03:04Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,automatically after an update
2023-05-22T03:25:36Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-08T08:07:24Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-03T03:25:35Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-02-03T04:36:50Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-26T08:08:15Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-16T21:37:23Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-14T01:08:26Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,wireless,wifi,by user
2023-05-21T22:41:52Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,wireless,wifi,by user
2023-04-05T04:28:18Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,wireless,wifi,by user
2023-03-08T08:04:35Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,wireless,wifi,by user
2023-03-20T20:42:30Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,wireless,wifi,by user
2023-07-14T03:17:07Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-16T08:43:32Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-02T08:45:53Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-09T08:42:36Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,wireless,wifi,by user
2023-02-14T23:02:59Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-30T08:43:03Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-31T08:43:55Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-11T04:56:59Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,wireless,wifi,by user
2023-04-10T04:05:18Z,www.amazon.com,US,Kindle E-reader,B0B3HPSFJ7,wireless,wifi,by user
2023-05-31T08:46:15Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-05-16T22:33:29Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-25T08:44:03Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-24T22:44:40Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-08T04:52:40Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-19T08:43:26Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-05-18T08:42:38Z,www.amazon.com,US,Kindle E-reader,B08D4QJRY2,wireless,wifi,by user
2023-04-24T22:54:40Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-05-11T03:30:45Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-27T20:41:19Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
