Timestamp,Activity,CampaignName,DisplayStatus
2023-09-17T20:12:43Z,RECEIVED,kindle_recommends,displayed
2025-01-20T18:51:20Z,ACTION_TRAY_CLEARED,,
2025-01-13T03:45:01Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2023-07-03T15:17:57Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2025-05-21T18:48:49Z,ACTION_TRAY_CLEARED,,
2023-06-19T21:29:36Z,ACTION_TRAY_CLEAR_PERFORMED,,
2024-11-04T03:49:11Z,ACTION_TRAY_CLOSE,,
2025-05-21T18:48:49Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2025-02-26T21:41:28Z,ACTION_TRAY_CLOSE,,
2023-10-07T01:15:19Z,ACTION_TAP,tips,
2025-01-20T18:51:20Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2024-12-07T21:26:40Z,RECEIVED,tips,displayed
2023-03-07T03:51:51Z,ACTION_TRAY_CLOSE,,
2023-04-04T23:12:18Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-02-15T06:02:01Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-06-30T22:47:05Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2024-11-04T03:49:11Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2024-08-17T18:25:14Z,ACTION_TRAY_OPEN,,
2024-09-21T20:59:27Z,ACTION_TRAY_CLEAR_PERFORMED,,
2025-02-10T21:17:33Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2023-10-05T04:16:38Z,ACTION_TRAY_CLEARED,,
2024-08-21T21:44:41Z,ACTION_TRAY_CLEAR_PERFORMED,,
2025-03-04T01:55:56Z,ACTION_TRAY_OPEN,,
2023-06-20T21:40:21Z,RECEIVED,tips,displayed
2024-11-25T17:49:19Z,ACTION_TRAY_CLOSE,,
2023-03-30T03:47:21Z,ACTION_TRAY_CLEARED,,
2025-03-04T01:55:56Z,ACTION_TRAY_CLEAR_PERFORMED,,
2025-03-09T17:51:41Z,ACTION_TRAY_CLEARED,,
2024-09-30T20:48:21Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2025-03-25T20:33:29Z,ACTION_TRAY_CLOSE,,
2023-02-15T06:01:30Z,ACTION_TAP_InAppNotification,kindle_recommends#DEFAULT,
2024-11-25T17:49:19Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2023-08-07T21:27:06Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2024-01-08T03:24:05Z,ACTION_TRAY_CLOSE,,
2025-02-11T23:25:01Z,RECEIVED,tips,displayed
2023-07-23T16:49:07Z,ACTION_TRAY_CLEARED,,
2024-04-12T18:29:55Z,RECEIVED,kindle_recommends,validityFailed
