created_timestamp,preferred_marketplace,country,device_family,ASIN,metric_name,SelectedValue,activePageName,VoiceViewStatus,ToPageName
2023-11-22T03:30:18Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-02-08T21:23:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-04-08T23:17:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2024-04-13T22:34:57Z,www.amazon.com,US,Kindle E-reader,B00BUP18U0,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2024-06-01T17:39:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2023-11-06T04:19:26Z,www.amazon.com,US,Kindle E-reader,B0BPX7SF89,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-04-08T23:16:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2024-07-27T03:56:25Z,www.amazon.com,US,Kindle E-reader,B0CH1NHWNW,Airplane,Off,In-book,VoiceView turned off,
2023-08-09T02:16:56Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2023-08-28T17:51:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2024-03-26T02:46:22Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2023-11-09T04:35:31Z,www.amazon.com,US,Kindle E-reader,B07CWDMQ45,Data sync,Clicked,In-book,VoiceView turned off,
2023-12-13T21:54:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2023-08-09T02:17:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped outside window,Home,VoiceView turned off,
2024-07-27T03:56:22Z,www.amazon.com,US,Kindle E-reader,B0CH1NHWNW,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2024-06-02T04:01:09Z,www.amazon.com,US,Kindle E-reader,B09X34KMRM,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2023-08-07T21:37:31Z,www.amazon.com,US,Kindle E-reader,B0BH4QWM85,All Settings,Clicked,In-book,VoiceView turned off,Settings
2024-06-17T03:51:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped outside window,KPP_SETTINGS,VoiceView turned off,
2024-07-27T17:07:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2023-12-11T17:06:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2024-05-05T21:10:51Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2023-10-19T04:11:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2023-09-28T04:08:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2023-09-25T02:55:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2023-11-06T22:53:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2024-04-15T20:35:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2024-04-15T20:35:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2023-11-06T04:19:24Z,www.amazon.com,US,Kindle E-reader,B0BPX7SF89,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2023-11-06T22:54:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2024-07-02T21:14:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2023-08-09T02:17:08Z,www.amazon.com,US,Kindle E-reader,Not Available,All Settings,Clicked,Home,VoiceView turned off,Settings
2024-03-26T02:46:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2024-07-27T17:07:21Z,www.amazon.com,US,Kindle E-reader,9CF67106DC3A4A8F90A685EE6DAA2B9F,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2023-10-24T03:20:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2023-12-13T21:54:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2023-10-19T04:11:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2023-12-01T04:15:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2023-12-25T04:47:35Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2024-06-17T03:52:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2024-04-15T20:36:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2023-10-12T19:01:04Z,www.amazon.com,US,Kindle E-reader,B09BV2JNWV,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2023-08-04T04:11:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-07-27T03:56:28Z,www.amazon.com,US,Kindle E-reader,B0CH1NHWNW,Data sync,Clicked,In-book,VoiceView turned off,
2023-11-22T03:30:22Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-01-25T20:34:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2023-08-09T02:18:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Airplane,Off,Home,VoiceView turned off,
2024-01-29T21:12:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2023-10-12T16:51:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2024-03-26T02:47:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2024-01-10T15:30:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped outside window,Home,VoiceView turned off,
2024-06-01T17:39:56Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,In-book,VoiceView turned off,
2024-01-25T20:34:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-04-13T22:35:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped outside window,KPP_SETTINGS,VoiceView turned off,
2023-08-09T02:18:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped outside window,Settings,VoiceView turned off,
2024-07-02T21:14:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2023-08-09T02:20:35Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2023-12-11T17:06:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2024-04-08T23:17:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2024-07-08T22:04:44Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2023-09-25T02:55:22Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2023-10-12T16:51:51Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2024-01-26T04:45:56Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-03-26T02:50:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2023-12-13T05:22:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2025-01-10T04:22:35Z,www.amazon.com,US,Kindle E-reader,LH2FCVKSFLIA3RE4365AAGYFG76TA7UI,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-09-22T01:44:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2025-07-27T18:30:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2025-04-21T22:27:44Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-08-27T05:08:47Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2025-02-10T23:22:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2025-03-25T21:57:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-09-25T03:56:09Z,www.amazon.com,US,Kindle E-reader,B0CQJHF3HQ,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2025-04-18T03:26:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2024-11-17T04:28:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-09-24T22:21:48Z,www.amazon.com,US,Kindle E-reader,B0CQJHF3HQ,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2025-07-27T18:30:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2024-08-18T15:03:16Z,www.amazon.com,US,Kindle E-reader,6C1EF968A24F49B0BF68A0FC5BA314DC,Data sync,Clicked,In-book,VoiceView turned off,
2025-01-15T05:10:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2025-05-20T02:17:47Z,www.amazon.com,US,Kindle E-reader,CLAXYW2N4FTQ76CN6JTRJPY5TJ6LGVCD,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2025-01-24T21:20:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2025-01-20T18:53:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2025-07-30T17:21:02Z,www.amazon.com,US,Kindle E-reader,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2025-07-27T18:30:22Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2025-04-27T03:28:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2025-04-18T03:26:35Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2024-12-10T05:15:09Z,www.amazon.com,US,Kindle E-reader,NKTH6XIJUZNFZ5PZSSWZ6BGQ6ZLGIKBQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2025-04-17T03:40:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2025-04-21T22:27:11Z,www.amazon.com,US,Kindle E-reader,Not Available,All Settings,Clicked,Home,VoiceView turned off,Settings
2024-09-22T01:44:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2025-04-21T02:49:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
