created_timestamp,preferred_marketplace,country,device_family,ASIN,dialog_type_displayed
2022-10-20T17:55:12Z,www.amazon.com,US,Kindle E-reader,3IPAKSAWQQL2Z24WQQ2L3VFTRTUOXTTK,Search dialog
2022-09-06T02:37:10Z,www.amazon.com,US,Kindle E-reader,B08PF965W9,Footnote dialog
2022-12-05T04:26:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Footnote dialog
2023-05-23T21:30:22Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,Sync To Furthest Reading Position dialog
2023-06-14T23:03:52Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,Sync To Furthest Reading Position dialog
2022-12-03T04:48:38Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2023-04-13T22:24:37Z,www.amazon.com,US,Kindle E-reader,B0B1BTJLJN,Footnote dialog
2022-10-28T04:44:11Z,www.amazon.com,US,Kindle E-reader,B003BRBCFG,GoTo Page or Location dialog
2023-04-10T21:45:25Z,www.amazon.com,US,Kindle E-reader,B0B3HPSFJ7,Sync To Furthest Reading Position dialog
2022-12-02T21:31:24Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2023-02-09T04:22:04Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,More options dialog
2022-12-05T04:21:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Footnote dialog
2023-04-10T23:46:25Z,www.amazon.com,US,Kindle E-reader,B087BQ7GK3,Footnote dialog
2022-12-02T21:31:18Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2022-12-03T04:47:44Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2022-12-02T21:12:46Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2022-12-05T04:25:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Footnote dialog
2023-06-23T03:52:37Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,Sync To Furthest Reading Position dialog
2022-12-02T21:17:18Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2023-06-13T22:23:25Z,www.amazon.com,US,Kindle E-reader,B0BBCB6PFC,GoTo Page or Location dialog
2022-12-02T21:39:28Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2022-12-02T21:39:02Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2023-12-23T18:12:31Z,www.amazon.com,US,Kindle E-reader,B0B7NGCGHG,GoTo Page or Location dialog
2024-04-10T03:52:33Z,www.amazon.com,US,Kindle E-reader,B092T8QDYW,Footnote dialog
2024-05-04T17:48:43Z,www.amazon.com,US,Kindle E-reader,B0CDKLBD2W,GoTo Page or Location dialog
2023-12-26T04:02:28Z,www.amazon.com,US,Kindle E-reader,B09Y467GZY,More options dialog
2024-04-10T03:53:01Z,www.amazon.com,US,Kindle E-reader,B092T8QDYW,Footnote dialog
2024-02-28T21:37:57Z,www.amazon.com,US,Kindle E-reader,B0C1YCKNK1,Search dialog
2024-04-10T03:56:15Z,www.amazon.com,US,Kindle E-reader,B092T8QDYW,Footnote dialog
2023-09-18T01:41:38Z,www.amazon.com,US,Kindle E-reader,B0BTVBH6G3,More options dialog
2024-05-04T17:48:53Z,www.amazon.com,US,Kindle E-reader,B0CDKLBD2W,GoTo Page or Location dialog
2024-05-01T03:46:44Z,www.amazon.com,US,Kindle E-reader,B092T8QDYW,Footnote dialog
2023-09-18T01:41:20Z,www.amazon.com,US,Kindle E-reader,B0BTVBH6G3,More options dialog
2024-01-03T21:32:59Z,www.amazon.com,US,Kindle E-reader,B0B7R4Q5DJ,Sync To Furthest Reading Position dialog
2024-02-28T21:37:51Z,www.amazon.com,US,Kindle E-reader,B0C1YCKNK1,More options dialog
2023-10-20T03:21:26Z,www.amazon.com,US,Kindle E-reader,B09BV2JNWV,Search dialog
2023-12-19T05:09:28Z,www.amazon.com,US,Kindle E-reader,B0B399L6KP,Footnote dialog
2024-10-28T03:51:55Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,Footnote dialog
2024-10-29T22:05:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Footnote dialog
2025-01-19T05:58:24Z,www.amazon.com,US,Kindle E-reader,6LUZMQAT5HFFSBK25OZR3TWRUJ5BDIZS,Footnote dialog
2025-01-18T18:30:19Z,www.amazon.com,US,Kindle E-reader,6LUZMQAT5HFFSBK25OZR3TWRUJ5BDIZS,Footnote dialog
2025-01-26T18:15:14Z,www.amazon.com,US,Kindle E-reader,6LUZMQAT5HFFSBK25OZR3TWRUJ5BDIZS,Footnote dialog
2025-01-02T03:54:01Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,Footnote dialog
2025-01-18T05:39:05Z,www.amazon.com,US,Kindle E-reader,6LUZMQAT5HFFSBK25OZR3TWRUJ5BDIZS,Footnote dialog
2024-10-22T03:09:19Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,Footnote dialog
2024-10-24T03:03:19Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,Footnote dialog
2025-01-26T18:15:33Z,www.amazon.com,US,Kindle E-reader,6LUZMQAT5HFFSBK25OZR3TWRUJ5BDIZS,Footnote dialog
2025-01-26T18:11:56Z,www.amazon.com,US,Kindle E-reader,6LUZMQAT5HFFSBK25OZR3TWRUJ5BDIZS,Footnote dialog
2025-01-18T05:36:47Z,www.amazon.com,US,Kindle E-reader,6LUZMQAT5HFFSBK25OZR3TWRUJ5BDIZS,Footnote dialog
2025-05-08T03:32:30Z,www.amazon.com,US,Kindle E-reader,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,Search dialog
2025-06-15T03:30:12Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,GoTo Page or Location dialog
2025-01-21T23:11:30Z,www.amazon.com,US,Kindle E-reader,B0CC1J32NG,Sync To Furthest Reading Position dialog
2024-10-29T22:05:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Footnote dialog
2025-01-16T04:37:32Z,www.amazon.com,US,Kindle E-reader,6LUZMQAT5HFFSBK25OZR3TWRUJ5BDIZS,Footnote dialog
2025-04-17T03:48:09Z,www.amazon.com,US,Kindle E-reader,II6J4O2WEM4UWTX47RYFLMDPIEDR6GET,More options dialog
2025-07-04T02:44:42Z,www.amazon.com,US,Kindle E-reader,433NYT3NYBLOUOHLMNP7KZE4BASGKFI2,Footnote dialog
2025-04-17T22:01:59Z,www.amazon.com,US,Kindle E-reader,WVIR53TOCAWTSQCQN5QUVUTPLD2YC7AD,Sync To Furthest Reading Position dialog
2025-04-17T03:48:19Z,www.amazon.com,US,Kindle E-reader,II6J4O2WEM4UWTX47RYFLMDPIEDR6GET,Search dialog
2024-11-06T04:43:26Z,www.amazon.com,US,Kindle E-reader,Q2GMDSWTP3KRSTVF5WHAONVIHS325UHL,Note dialog
2025-01-26T17:05:32Z,www.amazon.com,US,Kindle E-reader,6LUZMQAT5HFFSBK25OZR3TWRUJ5BDIZS,Footnote dialog
2025-05-30T01:28:37Z,www.amazon.com,US,Kindle E-reader,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Sync To Furthest Reading Position dialog
2025-06-12T23:27:38Z,www.amazon.com,US,Kindle E-reader,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,Note dialog
2024-10-21T03:26:01Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,Footnote dialog
2025-01-26T18:30:24Z,www.amazon.com,US,Kindle E-reader,6LUZMQAT5HFFSBK25OZR3TWRUJ5BDIZS,Footnote dialog
2024-10-24T03:03:27Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,Footnote dialog
2025-01-28T05:43:49Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,Footnote dialog
2025-01-26T18:08:15Z,www.amazon.com,US,Kindle E-reader,6LUZMQAT5HFFSBK25OZR3TWRUJ5BDIZS,Footnote dialog
2025-01-07T05:30:49Z,www.amazon.com,US,Kindle E-reader,JZLZQO3Y3EPKB7K2WUG7MGTYPVYOZWJS,GoTo Page or Location dialog
2025-02-10T23:23:32Z,www.amazon.com,US,Kindle E-reader,WZ34AC3Z6QKT765I3B5YQEO3U3BZXKLN,Sync To Furthest Reading Position dialog
2025-01-18T05:36:44Z,www.amazon.com,US,Kindle E-reader,6LUZMQAT5HFFSBK25OZR3TWRUJ5BDIZS,Footnote dialog
2025-01-29T04:29:19Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,Footnote dialog
2025-01-18T05:54:11Z,www.amazon.com,US,Kindle E-reader,6LUZMQAT5HFFSBK25OZR3TWRUJ5BDIZS,Footnote dialog
2025-01-10T04:48:22Z,www.amazon.com,US,Kindle E-reader,6LUZMQAT5HFFSBK25OZR3TWRUJ5BDIZS,Footnote dialog
2025-01-18T05:36:36Z,www.amazon.com,US,Kindle E-reader,6LUZMQAT5HFFSBK25OZR3TWRUJ5BDIZS,Footnote dialog
