device_record_time,Device Serial Number,country_of_residence,app_package_name,app_version_name,app_version_code,device_type,device_profile_type,app_profile_type,launch_count,duration_milliseconds,software_version,metric_level,product_mode,reason_code,metric_source,start_time,Amazon Marketplace
2025-07-11T05:43:02Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,2000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-11T05:43:00Z,Amazon.com
2025-07-10T21:30:49Z,G0016T03101203AQ,United States,com.lab126.KPP_HOME,Not Available,Not Available,Ereader,Not Available,Not Available,1,25000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-10T21:30:24Z,Amazon.com
2025-07-10T21:30:49Z,G0016T03101203AQ,United States,com.lab126.KPPMainApp,Not Available,Not Available,Ereader,Not Available,Not Available,1,25000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-10T21:30:24Z,Amazon.com
2025-07-10T21:30:28Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,596000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-10T21:20:32Z,Amazon.com
2025-07-10T21:20:34Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,1000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-10T21:20:33Z,Amazon.com
2025-07-10T21:19:19Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,1883000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-10T20:47:56Z,Amazon.com
2025-07-10T20:48:19Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,21000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-10T20:47:58Z,Amazon.com
2025-07-10T03:54:34Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,647000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-10T03:43:47Z,Amazon.com
2025-07-10T03:43:50Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,1000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-10T03:43:49Z,Amazon.com
2025-07-10T03:35:32Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,4240000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-10T02:24:52Z,Amazon.com
2025-07-10T02:25:00Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,6000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-10T02:24:54Z,Amazon.com
2025-07-10T02:09:19Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,5887000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-10T00:31:12Z,Amazon.com
2025-07-10T00:31:14Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,1000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-10T00:31:13Z,Amazon.com
2025-07-10T00:31:06Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,1101000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-10T00:12:45Z,Amazon.com
2025-07-10T00:12:49Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,2000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-10T00:12:47Z,Amazon.com
2025-07-09T22:29:19Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,2201000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-09T21:52:38Z,Amazon.com
2025-07-09T21:52:42Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,2000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-09T21:52:40Z,Amazon.com
2025-07-09T03:48:20Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,1656000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-09T03:20:44Z,Amazon.com
2025-07-09T03:20:59Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,13000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-09T03:20:46Z,Amazon.com
2025-07-09T00:08:14Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,11000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-09T00:08:03Z,Amazon.com
2025-07-09T00:08:09Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,4000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-09T00:08:05Z,Amazon.com
2025-07-09T00:05:47Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,1433000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-08T23:36:07Z,Amazon.com
2025-07-09T00:05:47Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,347000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-08T23:36:07Z,Amazon.com
