created_timestamp,preferred_marketplace,country,device_family,ASIN,Old Reading Progress Mode,New Reading Progress Mode
2025-07-27T00:56:10Z,www.amazon.com,US,Kindle E-reader,LLUQMOFNTTDE4U47XIA344P55IEPDQDW,LOCATION,NONE
2025-07-26T04:20:52Z,www.amazon.com,US,Kindle E-reader,433NYT3NYBLOUOHLMNP7KZE4BASGKFI2,TIME_LEFT_IN_CHAPTER,TIME_LEFT
2025-05-20T02:26:51Z,www.amazon.com,US,Kindle E-reader,FTT7VNOWFIXZCCUGO3PVUC2EFP5UBTOU,PAGE_NUMBER,TIME_LEFT_IN_CHAPTER
2025-06-15T01:16:13Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,TIME_LEFT_IN_CHAPTER,TIME_LEFT
2025-07-26T04:21:28Z,www.amazon.com,US,Kindle E-reader,433NYT3NYBLOUOHLMNP7KZE4BASGKFI2,LOCATION,NONE
2025-07-31T03:15:14Z,www.amazon.com,US,Kindle E-reader,SEZPDYLSFM2BYZQJNVIF2P5X74LX7RKR,TIME_LEFT_IN_CHAPTER,TIME_LEFT
2025-05-31T21:35:54Z,www.amazon.com,US,Kindle E-reader,JNMIUTPQKYQ7HRUKCLKJX5RHPE3OAK4B,NONE,PAGE_NUMBER
2025-06-02T02:22:39Z,www.amazon.com,US,Kindle E-reader,JNMIUTPQKYQ7HRUKCLKJX5RHPE3OAK4B,NONE,PAGE_NUMBER
2025-07-26T04:21:26Z,www.amazon.com,US,Kindle E-reader,433NYT3NYBLOUOHLMNP7KZE4BASGKFI2,TIME_LEFT_IN_CHAPTER,TIME_LEFT
2025-07-15T04:00:13Z,www.amazon.com,US,Kindle E-reader,CD2J6YLYY6SMOGLTHM77PUX5YBUTBUKC,LOCATION,NONE
2025-06-15T01:16:15Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,TIME_LEFT,LOCATION
2025-07-01T02:47:58Z,www.amazon.com,US,Kindle E-reader,433NYT3NYBLOUOHLMNP7KZE4BASGKFI2,PAGE_NUMBER,TIME_LEFT_IN_CHAPTER
2025-07-27T00:56:11Z,www.amazon.com,US,Kindle E-reader,LLUQMOFNTTDE4U47XIA344P55IEPDQDW,NONE,PAGE_NUMBER
2025-06-02T22:20:20Z,www.amazon.com,US,Kindle E-reader,JNMIUTPQKYQ7HRUKCLKJX5RHPE3OAK4B,PAGE_NUMBER,TIME_LEFT_IN_CHAPTER
2025-06-12T23:42:51Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,TIME_LEFT,LOCATION
