ASIN,Product Name,Annotation Type,Customer modified date on device,Device Serial Number,ContentType,Format,Creation Date,LastUpdatedDate,Highlight,Version,Selection Type,Note,Is Deleted
B08KH4LZDM,The Master & Margarita,kindle.most_recent_read,2023-02-28T19:33:07Z,A2CTZ977SKFQZY00A22LYIWQ0XNYZR,EBOK,YJBinary,2022-12-02T20:56:44Z,2023-02-28T19:33:07Z,Not Available,Not Available,Not Available,Not Available,No
B08KH4LZDM,The Master & Margarita,kindle.last_read,2022-12-07T04:21:58Z,G0016T03101203AQ,EBOK,YJBinary,2022-12-02T20:56:44Z,2022-12-07T04:21:59Z,Not Available,Not Available,Not Available,Not Available,No
B09NH4DJBP,Night of the Living Rez,kindle.continuous_read,2022-12-13T04:28:42Z,G0016T03101203AQ,EBOK,YJBinary,2022-11-18T04:13:15Z,2022-12-13T04:28:44Z,Not Available,Not Available,Not Available,Not Available,No
B09NH4DJBP,Night of the Living Rez,kindle.most_recent_read,2022-12-13T04:28:42Z,G0016T03101203AQ,EBOK,YJBinary,2022-11-18T04:13:15Z,2022-12-13T04:28:44Z,Not Available,Not Available,Not Available,Not Available,No
B09NH4DJBP,Night of the Living Rez,kindle.last_read,2022-12-13T04:28:42Z,G0016T03101203AQ,EBOK,YJBinary,2022-11-18T04:13:15Z,2022-12-13T04:28:44Z,Not Available,Not Available,Not Available,Not Available,No
B07WK8JZ9N,In Fifty Words!: Micro Fictions,kindle.continuous_read,2022-11-18T03:44:22Z,G0016T03101203AQ,EBOK,YJBinary,2022-11-17T05:17:42Z,2022-11-18T03:44:23Z,Not Available,Not Available,Not Available,Not Available,No
B07WK8JZ9N,In Fifty Words!: Micro Fictions,kindle.most_recent_read,2022-11-18T03:44:22Z,G0016T03101203AQ,EBOK,YJBinary,2022-11-17T05:17:42Z,2022-11-18T03:44:23Z,Not Available,Not Available,Not Available,Not Available,No
B07WK8JZ9N,In Fifty Words!: Micro Fictions,kindle.last_read,2022-11-18T03:44:22Z,G0016T03101203AQ,EBOK,YJBinary,2022-11-17T05:17:42Z,2022-11-18T03:44:23Z,Not Available,Not Available,Not Available,Not Available,No
N4LRBDHXLHWB6GQCAL74CNNNWOIWTPMJ,Not Available,kindle.continuous_read,2022-11-18T03:49:59Z,G0016T03101203AQ,PDOC,Mobi8,2022-11-15T22:08:35Z,2022-11-18T03:49:59Z,Not Available,Not Available,Not Available,Not Available,No
N4LRBDHXLHWB6GQCAL74CNNNWOIWTPMJ,Not Available,kindle.most_recent_read,2022-11-18T03:49:59Z,G0016T03101203AQ,PDOC,Mobi8,2022-11-15T22:08:35Z,2022-11-18T03:49:59Z,Not Available,Not Available,Not Available,Not Available,No
