Created Timestamp,Preferred Marketplace ID,Country of Residence,Device Family,ASIN,Widget Position,App Version,Event Page
2023-02-15T06:02:29Z,www.amazon.com,US,Kindle for Android,Not Available,13,1285428200,HOME
2022-12-08T19:27:25Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285389800,HOME
2022-12-16T05:11:39Z,www.amazon.com,US,Kindle for Android,Not Available,13,1285389800,HOME
2023-03-07T03:52:46Z,www.amazon.com,US,Kindle for Android,Not Available,10,1285441000,HOME
2022-12-18T22:27:06Z,www.amazon.com,US,Kindle for Android,B09RX45W14,1,1285389800,HOME
2022-12-08T19:27:11Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285389800,HOME
2022-12-20T18:59:51Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285389800,HOME
2022-12-14T17:45:01Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285389800,HOME
2023-02-20T03:02:01Z,www.amazon.com,US,Kindle for Android,Not Available,11,1285428200,HOME
2022-12-16T05:10:55Z,www.amazon.com,US,Kindle for Android,Not Available,6,1285389800,HOME
2023-05-02T01:24:40Z,www.amazon.com,US,Kindle for Android,Not Available,7,1285492200,HOME
2023-05-14T17:40:31Z,www.amazon.com,US,Kindle for Android,B09XL59MJX,2,1285505000,HOME
2023-02-15T06:02:19Z,www.amazon.com,US,Kindle for Android,Not Available,8,1285428200,HOME
2022-12-18T22:27:25Z,www.amazon.com,US,Kindle for Android,Not Available,5,1285389800,HOME
2023-03-25T18:13:36Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285466600,HOME
2023-07-23T16:48:38Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285544000,HOME
2023-07-21T15:52:15Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285544000,HOME
2023-02-28T19:20:16Z,www.amazon.com,US,Kindle for Android,Not Available,4,1285441000,HOME
2023-02-15T06:17:54Z,www.amazon.com,US,Kindle for Android,Not Available,11,1285428200,HOME
2023-03-07T03:52:06Z,www.amazon.com,US,Kindle for Android,Not Available,6,1285441000,HOME
2022-12-18T22:27:18Z,www.amazon.com,US,Kindle for Android,Not Available,4,1285389800,HOME
2022-12-25T19:30:54Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285389800,HOME
2023-01-19T05:42:51Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285403200,HOME
2023-07-23T16:49:50Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285544000,HOME
2023-05-02T01:24:42Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285492200,HOME
2023-01-07T06:09:39Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285403200,HOME
2023-03-05T04:56:00Z,www.amazon.com,US,Kindle for Android,Not Available,4,1285441000,HOME
2023-02-15T06:02:27Z,www.amazon.com,US,Kindle for Android,Not Available,11,1285428200,HOME
2023-01-19T05:31:56Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285403200,HOME
2022-12-25T19:31:14Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285389800,HOME
2022-12-25T19:44:44Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285389800,HOME
2023-07-04T18:35:08Z,www.amazon.com,US,Kindle for Android,Not Available,6,1285544000,HOME
2023-01-19T05:43:03Z,www.amazon.com,US,Kindle for Android,Not Available,7,1285403200,HOME
2022-12-16T13:32:09Z,www.amazon.com,US,Kindle for Android,Not Available,12,1285389800,HOME
2022-12-25T19:31:14Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285389800,HOME
2022-12-16T05:11:28Z,www.amazon.com,US,Kindle for Android,Not Available,8,1285389800,HOME
2023-02-28T19:20:29Z,www.amazon.com,US,Kindle for Android,Not Available,7,1285441000,HOME
2022-12-08T19:27:04Z,www.amazon.com,US,Kindle for Android,B08KH4LZDM,1,1285389800,HOME
2023-02-15T06:18:43Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285428200,HOME
2023-02-20T03:01:43Z,www.amazon.com,US,Kindle for Android,Not Available,4,1285428200,HOME
2022-12-16T05:09:41Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285389800,HOME
2023-06-06T01:41:35Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285530600,HOME
2023-02-28T00:03:10Z,www.amazon.com,US,Kindle for Android,Not Available,4,1285441000,HOME
2023-05-15T03:08:10Z,www.amazon.com,US,Kindle for Android,B09XL59MJX,2,1285505000,HOME
2023-04-21T03:41:49Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285479400,HOME
2023-02-28T19:20:58Z,www.amazon.com,US,Kindle for Android,Not Available,11,1285441000,HOME
2023-05-02T01:24:40Z,www.amazon.com,US,Kindle for Android,Not Available,5,1285492200,HOME
2023-04-28T19:54:12Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285492200,HOME
2023-02-20T03:01:19Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285428200,HOME
2023-04-30T21:03:32Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285492200,HOME
2022-12-20T18:59:50Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285389800,HOME
2022-12-08T19:27:11Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285389800,HOME
2023-01-19T05:31:30Z,www.amazon.com,US,Kindle for Android,Not Available,5,1285403200,HOME
2023-06-08T21:27:54Z,www.amazon.com,US,Kindle for Android,B09XBGYWSR,1,1285530600,HOME
2023-03-05T04:56:27Z,www.amazon.com,US,Kindle for Android,Not Available,8,1285441000,HOME
2023-04-28T19:53:56Z,www.amazon.com,US,Kindle for Android,B0B6Z4SVTH,4,1285492200,HOME
2023-01-12T05:36:10Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285403200,HOME
2022-12-16T05:11:05Z,www.amazon.com,US,Kindle for Android,Not Available,5,1285389800,HOME
2023-06-30T22:46:51Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285544000,HOME
2023-01-19T05:31:30Z,www.amazon.com,US,Kindle for Android,Not Available,8,1285403200,HOME
2022-12-18T22:25:55Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285389800,HOME
2023-06-06T01:34:33Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285530600,HOME
2023-06-28T23:55:35Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285544000,HOME
2022-12-16T05:12:50Z,www.amazon.com,US,Kindle for Android,Not Available,13,1285389800,HOME
2023-02-15T06:01:57Z,www.amazon.com,US,Kindle for Android,Not Available,4,1285428200,HOME
2023-03-07T03:51:12Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285441000,HOME
2023-07-23T16:48:38Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285544000,HOME
2022-12-25T19:31:23Z,www.amazon.com,US,Kindle for Android,B08BYBNGMW,1,1285389800,HOME
2023-06-06T01:41:29Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285530600,HOME
2023-06-14T22:23:06Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285543400,HOME
2023-07-16T21:10:06Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285544000,HOME
2023-01-19T05:42:39Z,www.amazon.com,US,Kindle for Android,B09QMHZ53K,2,1285403200,HOME
2023-02-20T03:01:47Z,www.amazon.com,US,Kindle for Android,Not Available,6,1285428200,HOME
2023-02-15T06:18:29Z,www.amazon.com,US,Kindle for Android,Not Available,11,1285428200,HOME
2023-02-20T03:01:44Z,www.amazon.com,US,Kindle for Android,Not Available,5,1285428200,HOME
2023-01-19T05:31:30Z,www.amazon.com,US,Kindle for Android,Not Available,6,1285403200,HOME
2023-01-19T05:42:52Z,www.amazon.com,US,Kindle for Android,Not Available,4,1285403200,HOME
2022-12-18T22:25:55Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285389800,HOME
2023-04-21T03:43:45Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285479400,HOME
2023-01-19T05:31:30Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285403200,HOME
2023-04-28T19:53:56Z,www.amazon.com,US,Kindle for Android,B0B6Z4SVTH,1,1285492200,HOME
2023-01-07T06:14:27Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285403200,HOME
2023-04-21T03:42:18Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285479400,HOME
2023-02-15T06:01:42Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285428200,HOME
2023-04-21T03:43:49Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285479400,HOME
2023-05-15T03:22:00Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285505000,HOME
2023-02-15T06:02:26Z,www.amazon.com,US,Kindle for Android,Not Available,10,1285428200,HOME
2023-02-05T20:51:05Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285415400,HOME
2023-02-15T06:17:54Z,www.amazon.com,US,Kindle for Android,Not Available,12,1285428200,HOME
2023-02-20T03:01:42Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285428200,HOME
2023-03-05T04:56:33Z,www.amazon.com,US,Kindle for Android,Not Available,12,1285441000,HOME
2022-12-31T23:09:09Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285403200,HOME
2023-02-28T19:19:55Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285441000,HOME
2023-01-12T05:35:48Z,www.amazon.com,US,Kindle for Android,B09QMHZ53K,2,1285403200,HOME
2022-12-16T05:11:36Z,www.amazon.com,US,Kindle for Android,Not Available,11,1285389800,HOME
2023-03-09T03:07:17Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285441000,HOME
2023-07-04T18:29:02Z,www.amazon.com,US,Kindle for Android,Not Available,6,1285544000,HOME
2023-01-19T05:43:09Z,www.amazon.com,US,Kindle for Android,Not Available,10,1285403200,HOME
2023-05-14T17:40:27Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285505000,HOME
2022-12-25T19:44:44Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285389800,HOME
2022-12-18T22:26:11Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285389800,HOME
