created_timestamp,preferred_marketplace,country,device_family,ASIN,Action,Medium,Zoom Scale,Focus X,Focus Y,Context Experience
2024-07-17T10:55:02Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.5733,0.2868,0.4857,viewer
2024-07-18T18:32:06Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,zoom,Touch,1.0000,0.5000,0.5000,viewer
2024-07-15T00:00:01Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.7227,0.3042,0.4340,viewer
2024-07-17T19:49:29Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.7364,0.5202,0.6486,viewer
2024-01-10T05:02:27Z,www.amazon.com,US,Kindle for Android,B09S3WWY98,pan,Touch,1.0000,0.5000,0.8905,guided
2024-07-17T10:50:52Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.5733,0.3178,0.5774,viewer
2024-07-17T19:49:28Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.7364,0.5330,0.5493,viewer
2024-01-10T05:02:26Z,www.amazon.com,US,Kindle for Android,B09S3WWY98,pan,Touch,1.0000,0.5000,0.7961,guided
2024-07-31T10:18:37Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.8279,0.3247,0.6105,viewer
2024-07-15T00:00:01Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.7227,0.6603,0.5700,viewer
2024-07-18T18:32:22Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.5822,0.5243,0.6501,viewer
2024-07-15T00:00:12Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.7227,0.6042,0.5292,viewer
2024-07-15T00:00:15Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.7227,0.5464,0.5618,viewer
