created_timestamp,country,preferred_marketplace,device_family,active_ASIN,books_series_count,max_books_series_size,books_series_grouping_setting
2023-04-05T20:10:36Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-02T20:56:26Z,US,www.amazon.com,Kindle for Android,B08KH4LZDM,0,0,seriesGroupingDisabled
2023-03-06T19:45:58Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-03-25T18:28:00Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-16T14:00:01Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-07-04T20:46:50Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-04T14:07:33Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-04T04:51:53Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-25T18:13:42Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-04T12:21:42Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-13T03:50:49Z,US,www.amazon.com,Kindle for Android,B0B33PJZJT,0,0,seriesGroupingDisabled
2023-04-29T02:38:47Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-05-12T03:43:13Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-12T05:35:58Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-07-18T04:53:17Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-26T15:33:04Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-28T03:54:51Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-08T20:51:46Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-15T06:28:58Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-13T02:24:12Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-02T21:56:09Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-05-15T05:22:46Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-30T09:37:15Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-05-15T03:22:00Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-31T16:16:35Z,US,www.amazon.com,Kindle for Android,B075SPBQDV,0,0,seriesGroupingDisabled
2023-05-14T18:15:40Z,US,www.amazon.com,Kindle for Android,B09XL59MJX,0,0,seriesGroupingDisabled
2023-03-27T18:28:33Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-14T22:56:46Z,US,www.amazon.com,Kindle for Android,B0BHCXVWGT,0,0,seriesGroupingDisabled
2023-03-30T15:21:33Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-07-16T21:08:58Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-20T22:32:32Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-22T20:07:26Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-25T18:31:27Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-21T08:32:27Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-22T20:07:30Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-20T19:19:42Z,US,www.amazon.com,Kindle for Android,B07VDJBKNJ,1,1,seriesGroupingDisabled
2023-03-15T02:18:54Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-14T22:23:07Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-19T12:59:35Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-14T03:12:01Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-14T12:55:10Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-04-14T18:39:07Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-04-21T03:42:07Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-04-05T00:15:05Z,US,www.amazon.com,Kindle for Android,B07HB5DKQX,0,0,seriesGroupingDisabled
2023-06-08T21:28:06Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-07-04T18:22:20Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-17T19:37:26Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-05-15T03:12:50Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-04-28T19:53:45Z,US,www.amazon.com,Kindle for Android,B0B6Z4SVTH,1,1,seriesGroupingDisabled
2023-03-31T20:18:15Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-07-23T15:47:44Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-07-06T18:55:28Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-12T02:36:42Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-13T03:50:45Z,US,www.amazon.com,Kindle for Android,B0B33PJZJT,0,0,seriesGroupingDisabled
2023-05-14T17:40:26Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-04-28T19:54:13Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-06-28T02:54:39Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-05T20:54:57Z,US,www.amazon.com,Kindle for Android,B09NTK9WDQ,0,0,seriesGroupingDisabled
2023-06-14T21:21:06Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-16T05:11:00Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-08T20:59:40Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-07T03:45:57Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-24T05:17:52Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-04-04T23:12:23Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-15T20:07:20Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-08T21:27:55Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-07T00:09:01Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-13T03:49:17Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-05T04:38:56Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-19T05:34:56Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-06T04:12:11Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-04-13T03:00:42Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-02-17T04:21:48Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-23T09:36:02Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-20T03:13:54Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
