created_timestamp,preferred_marketplace,country,device_family,ASIN,device_active_time_in_ms
2023-06-23T21:45:53Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,1440604
2023-06-15T00:17:41Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,4544811
2023-03-23T21:43:37Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,1629788
2023-03-20T02:22:09Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,1542742
2023-07-23T20:19:38Z,www.amazon.com,US,Kindle E-reader,B0BH4QWM85,1602050
2023-04-22T03:57:34Z,www.amazon.com,US,Kindle E-reader,Not Available,147126
2023-04-26T00:20:46Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,998067
2023-05-29T04:56:43Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,1133994
2023-07-10T03:51:11Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,1562301
2023-06-25T04:24:31Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,3294370
2023-02-24T04:41:29Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,2669451
2023-06-29T10:49:13Z,www.amazon.com,US,Kindle E-reader,B0B7NDZNDV,601868
2023-04-14T03:49:13Z,www.amazon.com,US,Kindle E-reader,B000U913EI,4204066
2023-05-08T03:47:06Z,www.amazon.com,US,Kindle E-reader,B084357H23,1357730
2023-01-27T01:06:28Z,www.amazon.com,US,Kindle E-reader,B09R21YVLM,3189599
2023-03-15T02:32:11Z,www.amazon.com,US,Kindle E-reader,B007D1TKAU,2349326
2023-05-03T00:06:06Z,www.amazon.com,US,Kindle E-reader,B084357H23,353290
2023-04-24T22:31:21Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,600330
2023-04-27T22:15:22Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,33223
2023-02-13T19:41:44Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,1717054
